Year,SERIES,UNIT_MEASURE,Пол,Врста вјештина,Године,Value
2000,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,15 до 24 године,99.79
2013,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,15 до 24 године,99.66
2000,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,15 до 24 године,99.84
2013,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,15 до 24 године,99.67
2000,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,15 до 24 године,99.75
2013,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,15 до 24 године,99.66
2000,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,од 15 до 99 година,96.66
2013,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,од 15 до 99 година,99.99
2000,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,од 15 до 99 година,94.36
2013,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,од 15 до 99 година,94.91
2000,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,од 15 до 99 година,99.03
2013,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,од 15 до 99 година,99.18
2000,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,од 25 до 64 године,98.32
2013,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,од 25 до 64 године,99.04
2000,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,од 25 до 64 године,97.19
2013,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,од 25 до 64 године,98.58
2000,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,од 25 до 64 године,99.5
2013,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,од 25 до 64 године,99.5
2000,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,од 65 до 99 година,83.2
2013,Стопа писмености младих / одраслих (%),Проценат,Оба пола,Писменост,од 65 до 99 година,96.04
2000,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,од 65 до 99 година,72.58
2013,Стопа писмености младих / одраслих (%),Проценат,Жене,Писменост,од 65 до 99 година,78.11
2000,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,од 65 до 99 година,95.28
2013,Стопа писмености младих / одраслих (%),Проценат,Мушкарци,Писменост,од 65 до 99 година,97.03
