Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2000,SH_SAN_DEFECT,Проценат,Укупно,1
2001,SH_SAN_DEFECT,Проценат,Укупно,1
2002,SH_SAN_DEFECT,Проценат,Укупно,1
2003,SH_SAN_DEFECT,Проценат,Укупно,0
2004,SH_SAN_DEFECT,Проценат,Укупно,0
2005,SH_SAN_DEFECT,Проценат,Укупно,0
2006,SH_SAN_DEFECT,Проценат,Укупно,0
2007,SH_SAN_DEFECT,Проценат,Укупно,0
2008,SH_SAN_DEFECT,Проценат,Укупно,0
2009,SH_SAN_DEFECT,Проценат,Укупно,0
2010,SH_SAN_DEFECT,Проценат,Укупно,0
2011,SH_SAN_DEFECT,Проценат,Укупно,0
2012,SH_SAN_DEFECT,Проценат,Укупно,0
2013,SH_SAN_DEFECT,Проценат,Укупно,0
2014,SH_SAN_DEFECT,Проценат,Укупно,0
2015,SH_SAN_DEFECT,Проценат,Укупно,0
2016,SH_SAN_DEFECT,Проценат,Укупно,0
2017,SH_SAN_DEFECT,Проценат,Укупно,0
2018,SH_SAN_DEFECT,Проценат,Укупно,0
2000,SH_SAN_DEFECT,Проценат,Рурално,1
2001,SH_SAN_DEFECT,Проценат,Рурално,1
2002,SH_SAN_DEFECT,Проценат,Рурално,1
2003,SH_SAN_DEFECT,Проценат,Рурално,1
2004,SH_SAN_DEFECT,Проценат,Рурално,1
2005,SH_SAN_DEFECT,Проценат,Рурално,0
2006,SH_SAN_DEFECT,Проценат,Рурално,0
2007,SH_SAN_DEFECT,Проценат,Рурално,0
2008,SH_SAN_DEFECT,Проценат,Рурално,0
2009,SH_SAN_DEFECT,Проценат,Рурално,0
2010,SH_SAN_DEFECT,Проценат,Рурално,0
2011,SH_SAN_DEFECT,Проценат,Рурално,0
2012,SH_SAN_DEFECT,Проценат,Рурално,0
2013,SH_SAN_DEFECT,Проценат,Рурално,0
2014,SH_SAN_DEFECT,Проценат,Рурално,0
2015,SH_SAN_DEFECT,Проценат,Рурално,0
2016,SH_SAN_DEFECT,Проценат,Рурално,0
2017,SH_SAN_DEFECT,Проценат,Рурално,0
2018,SH_SAN_DEFECT,Проценат,Рурално,0
2000,SH_SAN_DEFECT,Проценат,Урбано,0
2001,SH_SAN_DEFECT,Проценат,Урбано,0
2002,SH_SAN_DEFECT,Проценат,Урбано,0
2003,SH_SAN_DEFECT,Проценат,Урбано,0
2004,SH_SAN_DEFECT,Проценат,Урбано,0
2005,SH_SAN_DEFECT,Проценат,Урбано,0
2006,SH_SAN_DEFECT,Проценат,Урбано,0
2007,SH_SAN_DEFECT,Проценат,Урбано,0
2008,SH_SAN_DEFECT,Проценат,Урбано,0
2009,SH_SAN_DEFECT,Проценат,Урбано,0
2010,SH_SAN_DEFECT,Проценат,Урбано,0
2011,SH_SAN_DEFECT,Проценат,Урбано,0
2012,SH_SAN_DEFECT,Проценат,Урбано,0
2013,SH_SAN_DEFECT,Проценат,Урбано,0
2014,SH_SAN_DEFECT,Проценат,Урбано,0
2015,SH_SAN_DEFECT,Проценат,Урбано,0
2016,SH_SAN_DEFECT,Проценат,Урбано,0
2017,SH_SAN_DEFECT,Проценат,Урбано,0
2018,SH_SAN_DEFECT,Проценат,Урбано,0
2019,SH_SAN_DEFECT,Проценат,Урбано,0
2020,SH_SAN_DEFECT,Проценат,Урбано,0
2000,SH_SAN_SAFE,Проценат,Укупно,17
2001,SH_SAN_SAFE,Проценат,Укупно,18
2002,SH_SAN_SAFE,Проценат,Укупно,18
2003,SH_SAN_SAFE,Проценат,Укупно,19
2004,SH_SAN_SAFE,Проценат,Укупно,20
2005,SH_SAN_SAFE,Проценат,Укупно,20
2006,SH_SAN_SAFE,Проценат,Укупно,21
2007,SH_SAN_SAFE,Проценат,Укупно,21
2008,SH_SAN_SAFE,Проценат,Укупно,22
2009,SH_SAN_SAFE,Проценат,Укупно,23
2010,SH_SAN_SAFE,Проценат,Укупно,25
2011,SH_SAN_SAFE,Проценат,Укупно,27
2012,SH_SAN_SAFE,Проценат,Укупно,29
2013,SH_SAN_SAFE,Проценат,Укупно,32
2014,SH_SAN_SAFE,Проценат,Укупно,34
2015,SH_SAN_SAFE,Проценат,Укупно,35
2016,SH_SAN_SAFE,Проценат,Укупно,37
2017,SH_SAN_SAFE,Проценат,Укупно,39
2018,SH_SAN_SAFE,Проценат,Укупно,40
2000,SH_SAN_SAFE,Проценат,Урбано,6
2001,SH_SAN_SAFE,Проценат,Урбано,6
2002,SH_SAN_SAFE,Проценат,Урбано,6
2003,SH_SAN_SAFE,Проценат,Урбано,6
2004,SH_SAN_SAFE,Проценат,Урбано,6
2005,SH_SAN_SAFE,Проценат,Урбано,5
2006,SH_SAN_SAFE,Проценат,Урбано,5
2007,SH_SAN_SAFE,Проценат,Урбано,5
2008,SH_SAN_SAFE,Проценат,Урбано,5
2009,SH_SAN_SAFE,Проценат,Урбано,5
2010,SH_SAN_SAFE,Проценат,Урбано,7
2011,SH_SAN_SAFE,Проценат,Урбано,9
2012,SH_SAN_SAFE,Проценат,Урбано,12
2013,SH_SAN_SAFE,Проценат,Урбано,14
2014,SH_SAN_SAFE,Проценат,Урбано,17
2015,SH_SAN_SAFE,Проценат,Урбано,19
2016,SH_SAN_SAFE,Проценат,Урбано,22
2017,SH_SAN_SAFE,Проценат,Урбано,25
2018,SH_SAN_SAFE,Проценат,Урбано,27
2019,SH_SAN_SAFE,Проценат,Урбано,30
2020,SH_SAN_SAFE,Проценат,Урбано,30
2008,SH_SAN_HNDWSH,Проценат,Укупно,97
2009,SH_SAN_HNDWSH,Проценат,Укупно,97
2010,SH_SAN_HNDWSH,Проценат,Укупно,97
2011,SH_SAN_HNDWSH,Проценат,Укупно,97
2012,SH_SAN_HNDWSH,Проценат,Укупно,97
2013,SH_SAN_HNDWSH,Проценат,Укупно,97
2014,SH_SAN_HNDWSH,Проценат,Укупно,97
2015,SH_SAN_HNDWSH,Проценат,Укупно,97
2016,SH_SAN_HNDWSH,Проценат,Укупно,97
2008,SH_SAN_HNDWSH,Проценат,Рурално,96
2009,SH_SAN_HNDWSH,Проценат,Рурално,96
2010,SH_SAN_HNDWSH,Проценат,Рурално,96
2011,SH_SAN_HNDWSH,Проценат,Рурално,96
2012,SH_SAN_HNDWSH,Проценат,Рурално,96
2013,SH_SAN_HNDWSH,Проценат,Рурално,96
2014,SH_SAN_HNDWSH,Проценат,Рурално,96
2015,SH_SAN_HNDWSH,Проценат,Рурално,96
2016,SH_SAN_HNDWSH,Проценат,Рурално,96
2008,SH_SAN_HNDWSH,Проценат,Урбано,99
2009,SH_SAN_HNDWSH,Проценат,Урбано,99
2010,SH_SAN_HNDWSH,Проценат,Урбано,99
2011,SH_SAN_HNDWSH,Проценат,Урбано,99
2012,SH_SAN_HNDWSH,Проценат,Урбано,99
2013,SH_SAN_HNDWSH,Проценат,Урбано,99
2014,SH_SAN_HNDWSH,Проценат,Урбано,99
2015,SH_SAN_HNDWSH,Проценат,Урбано,99
2016,SH_SAN_HNDWSH,Проценат,Урбано,99
