Year,SERIES,UNIT_MEASURE,Привредна активност,Степен урбанизације,Value
2018,EN_WWT_WWDS,Проценат,,,22.70747
2020,EN_WWT_WWDS,Проценат,,,46.7966
2015,EN_WWT_TREATR,Проценат,Индустрије,Укупно,100.0
2015,EN_WWT_TREATR,Проценат,Без пођеле,Укупно,54.3595
2015,EN_WWT_GEN,Милион кубних метара годишње,Индустрије,Укупно,8.6
2015,EN_WWT_GEN,Милион кубних метара годишње,"Пољопривреда, шумарство и риболов",Укупно,0.5
2015,EN_WWT_GEN,Милион кубних метара годишње,Производња,Укупно,8.6
2015,EN_WWT_GEN,Милион кубних метара годишње,Приватна домаћинства,Укупно,70.0
2015,EN_WWT_GEN,Милион кубних метара годишње,Услуге и активности домаћинстава,Укупно,84.0
2015,EN_WWT_GEN,Милион кубних метара годишње,Услуге,Укупно,13.8
2015,EN_WWT_GEN,Милион кубних метара годишње,Без пођеле,Укупно,92.9
2015,EN_WWT_TREAT,Милион кубних метара годишње,Индустрије,Укупно,45.8
2015,EN_WWT_TREAT,Милион кубних метара годишње,Без пођеле,Укупно,50.5
