Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2001, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.11
2006, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.22
2007, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.26
2010, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.31
2011, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.4
2012, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.49
2013, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.51
2014, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.41
2015, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.41
2016, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.44
2017, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.44
2018, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.41
2019, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Индустрије,0.27
2001, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.37
2006, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.31
2007, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.33
2010, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.58
2011, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.42
2012, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.42
2013, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.39
2014, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.33
2015, Ниво воденог стреса: повлачење слатке воде као удио расположивих слатководних ресурса,Проценат,Услуге (Г до Т),2.37
