Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2000,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,360.82166
2001,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,359.48139
2002,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,359.1836
2003,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,360.46549
2004,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,371.2894
2005,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,375.71774
2006,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,379.07033
2007,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,383.81926
2008,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,397.85545
2009,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,404.59029
2010,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,445.68926
2011,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,454.31432
2012,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,463.08759
2013,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,470.87276
2014,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,481.23811
2015,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,489.57275
2016,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,510.1026
2017,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,525.66448
2018,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,554.6819
2019,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,574.40226
2020,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,588.47212
2021,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,623.21477
2022,EG_EGY_RNEW,Вати по глави становника,Сви обновљиви извори енергије,646.18469
2000,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2001,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2002,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2003,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2004,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2005,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2006,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2007,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2008,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2009,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2010,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2011,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2012,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2013,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2014,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2015,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.0
2016,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.28727
2017,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.2907
2018,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.36469
2019,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.6576
2020,EG_EGY_RNEW,Вати по глави становника,Биоенергија,0.63585
2021,EG_EGY_RNEW,Вати по глави становника,Биоенергија,3.12142
2022,EG_EGY_RNEW,Вати по глави становника,Биоенергија,3.15754
2000,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2001,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2002,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2003,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2004,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2005,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2006,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2007,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2008,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2009,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2010,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2011,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2012,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2013,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2014,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2015,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2016,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2017,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2018,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2019,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2020,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2021,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2022,EG_EGY_RNEW,Вати по глави становника,Геотермална енергија,0.0
2000,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,360.82166
2001,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,359.48139
2002,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,359.1836
2003,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,360.44158
2004,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,371.24112
2005,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,375.64446
2006,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,378.9964
2007,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,383.74441
2008,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,397.77937
2009,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,404.51293
2010,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,445.61054
2011,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,454.15402
2012,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,462.91096
2013,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,470.41969
2014,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,479.14741
2015,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,487.16945
2016,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,505.67282
2017,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,520.63545
2018,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,533.97974
2019,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,541.20691
2020,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,551.10479
2021,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,561.54448
2022,EG_EGY_RNEW,Вати по глави становника,Хидроенергија,568.04244
2000,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2001,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2002,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2003,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2004,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2005,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2006,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2007,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2008,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2009,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2010,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2011,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2012,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2013,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2014,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2015,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2016,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2017,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2018,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2019,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2020,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2021,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2022,EG_EGY_RNEW,Вати по глави становника,Морска енергија,0.0
2000,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.0
2001,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.0
2002,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.0
2003,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.0239
2004,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.04828
2005,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.07327
2006,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.07393
2007,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.07485
2008,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.07608
2009,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.07736
2010,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.07872
2011,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.08015
2012,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.09498
2013,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,0.37014
2014,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,2.00668
2015,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,2.31818
2016,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,4.05632
2017,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,4.65113
2018,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,5.33803
2019,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,6.65038
2020,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,10.51408
2021,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,17.27636
2022,EG_EGY_RNEW,Вати по глави становника,Сунчева енергија,33.23462
2000,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2001,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2002,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2003,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2004,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2005,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2006,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2007,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2008,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2009,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2010,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.0
2011,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08015
2012,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08165
2013,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08293
2014,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08401
2015,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08512
2016,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08618
2017,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,0.08721
2018,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,14.99943
2019,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,25.88738
2020,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,26.2174
2021,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,41.2725
2022,EG_EGY_RNEW,Вати по глави становника,Енергија вјетра,41.75009
