Year,SERIES,UNIT_MEASURE,Године,Value
2006,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,15.7603554664889
2007,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,20.8961213927472
2008,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,28.7130590242978
2009,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,43.2367234540877
2010,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,35.1659332423759
2011,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,38.9598561143151
2012,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,42.1918744495998
2013,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,45.6265850902459
2014,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,48.3100788850061
2015,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,51.9150244970796
2016,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,52.4818500268657
2017,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,53.8932535381674
2018,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,55.8396955995355
2019,Број аутоматизованих банкомата (АТМ) на 100.000 одраслих становника,Број,15 година и више,58.2394843106736
2005,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,27.4945406233451
2006,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,28.2853534083531
2007,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,31.8067679825481
2008,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,33.9075414005026
2009,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,32.2919292513186
2010,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,31.514825419397
2011,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,32.4449384113389
2012,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,32.2353807126615
2013,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,33.1860030444406
2014,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,34.3523281833073
2015,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,31.6513071817848
2016,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,30.302020551226
2017,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,30.4659717857087
2018,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,30.5318183903908
2019,Број филијала комерцијалних банака на 100.000 одраслих,Број,15 година и више,30.0075391722678
