Year,SERIES,UNIT_MEASURE,Врста производа,Value
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,10.2814
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,11.53692
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,10.83291
2018,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,11.52782
2019,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,11.68895
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.48619
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.90294
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.49577
2018,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,3.03498
2019,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,3.06168
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.20241
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.71903
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.97509
2018,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,5.12817
2019,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Фосилна горива,4.88006
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.86948
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.75737
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.73758
2018,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.73486
2019,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Металне руде,0.87663
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.82636
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.31631
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.80636
2018,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,2.81688
2019,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Неметални минерали,3.05611
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,2.20886
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,2.37127
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,2.13123
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,2.16067
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,2.10285
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,2.18623
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Без подјеле,1.96233
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.53413
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.59668
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.49103
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.56873
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.55065
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.58389
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Биомаса,0.45577
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Угаљ,0.80169
