Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2000,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,8.26
2001,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,8.59
2002,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,8.86
2003,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,8.79
2004,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,8.65
2005,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,9.11
2006,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,9.88
2007,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.32
2008,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.42
2009,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.16
2010,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.79
2011,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.69
2012,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.69
2013,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,10.97
2014,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,11.31
2015,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,11.67
2016,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,11.92
2017,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.52
2018,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.28
2019,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,11.95
2020,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,11.81
2021,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.56
2022,Додатна вредност производње (константни амерички долари из 2015.) као пропорција БДП-а (%),Проценат,Производња,12.72
2000,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,9.3
2001,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,9.41
2002,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,9.31
2003,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,9.3
2004,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,9.12
2005,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,9.94
2006,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.02
2007,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.81
2008,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,11.01
2009,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.48
2010,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.88
2011,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.92
2012,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.55
2013,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,10.94
