Year,UNIT_MEASURE,Тип,Value
a)Јануар 2019,у KM,Просјечна мјесечна бруто плаћа,1408
b)Фебруар 2019,у KM,average monthly gross earning ,1378
c)Март 2019,у KM,average monthly gross earning ,1397
d)Април 2019,у KM,average monthly gross earning ,1413
e)Мај 2019,у KM,average monthly gross earning ,1430
f)Јуни 2019,у KM,average monthly gross earning ,1404
g)Јули 2019,у KM,average monthly gross earning ,1439
h)Август 2019,у KM,average monthly gross earning ,1429
i)Септембар 2019,у KM,average monthly gross earning ,1415
j)Октобар 2019,у KM,average monthly gross earning ,1440
k)Новембар 2019,у KM,average monthly gross earning ,1433
l)Децембар 2019,у KM,average monthly gross earning ,1470
m)Јануар 2020,у KM,Просјечна мјесечна бруто плаћа,1460
n)Фебруар 2020,у KM,average monthly gross earning ,1452
o)Март 2020,у KM,average monthly gross earning ,1466
p)Април 2020,у KM,average monthly gross earning ,1454
q)Мај 2020,у KM,average monthly gross earning ,1450
r)Јуни 2020,у KM,average monthly gross earning ,1475
s)Јули 2020,у KM,average monthly gross earning ,1492
t)Август 2020,у KM,average monthly gross earning ,1472
u)Септембар 2020,у KM,average monthly gross earning ,1485
v)Октобар 2020,у KM,average monthly gross earning ,1485
w)Новембар 2020,у KM,average monthly gross earning ,1493
x)Децембар 2020,у KM,average monthly gross earning ,1526
January_2021,у KM,average monthly gross earning ,1504
z)Фебруар 2021,у KM,average monthly gross earning ,1490
a)Јануар 2019,у KM,average monthly paid off net earning ,913
b)Фебруар 2019,у KM,average monthly paid off net earning ,895
c)Март 2019,у KM,average monthly paid off net earning ,907
d)Април 2019,у KM,average monthly paid off net earning ,916
e)Мај 2019,у KM,average monthly paid off net earning ,926
f)Јуни 2019,у KM,average monthly paid off net earning ,910
g)Јули 2019,у KM,average monthly paid off net earning ,932
h)Август 2019,у KM,average monthly paid off net earning ,925
i)Септембар 2019,у KM,average monthly paid off net earning ,916
j)Октобар 2019,у KM,average monthly paid off net earning ,932
k)Новембар 2019,у KM,average monthly paid off net earning ,928
l)Децембар 2019,у KM,average monthly paid off net earning ,951
m)Јануар 2020,у KM,average monthly paid off net earning ,945
n)Фебруар 2020,у KM,average monthly paid off net earning ,941
o)Март 2020,у KM,average monthly paid off net earning ,950
p)Април 2020,у KM,average monthly paid off net earning ,942
q)Мај 2020,у KM,average monthly paid off net earning ,940
r)Јуни 2020,у KM,average monthly paid off net earning ,955
s)Јули 2020,у KM,average monthly paid off net earning ,965
t)Август 2020,у KM,average monthly paid off net earning ,953
u)Септембар 2020,у KM,average monthly paid off net earning ,962
v)Октобар 2020,у KM,average monthly paid off net earning ,961
w)Новембар 2020,у KM,average monthly paid off net earning ,966
x)Децембар 2020,у KM,average monthly paid off net earning ,988
January_2021,у KM,average monthly paid off net earning ,969
z)Фебруар 2021,у KM,average monthly paid off net earning ,961
