Year,calendar,UNIT_MEASURE,Тип,Value
2019,Јануар,у хиљадама КМ,Извоз,856 376
2019,Фебруар,у хиљадама КМ,Извоз,926443
2019,Март,у хиљадама КМ,Извоз,989133
2019,Април,у хиљадама КМ,Извоз,1034867
2019,Мај,у хиљадама КМ,Извоз,1028163
2019,Јуни,у хиљадама КМ,Извоз,995601
2019,Јули,у хиљадама КМ,Извоз,1005663
2019,Август,у хиљадама КМ,Извоз,844904
2019,Септембар,у хиљадама КМ,Извоз,983719
2019,Октобар,у хиљадама КМ,Увоз,1292899
2019,Новембар,у хиљадама КМ,Увоз,1549613
2019,Децембар,у хиљадама КМ,Увоз,1772859
2019,Јануар,у хиљадама КМ,Увоз,1750450
2019,Фебруар,у хиљадама КМ,Увоз,1809099
2019,Март,у хиљадама КМ,Увоз,1608480
2019,Април,у хиљадама КМ,Увоз,1745495
2019,Мај,у хиљадама КМ,Увоз,1526382
2019,Јуни,у хиљадама КМ,Увоз,1572606
2020,Јули,у хиљадама КМ,Извоз,855977
2020,Август,у хиљадама КМ,Извоз,923256
2020,Септембар,у хиљадама КМ,Извоз,848386
2020,Октобар,у хиљадама КМ,Извоз,696198
2020,Новембар,у хиљадама КМ,Извоз,736613
2020,Децембар,у хиљадама КМ,Извоз,888104
2020,Јануар,у хиљадама КМ,Извоз,874153
2020,Фебруар,у хиљадама КМ,Извоз,775220
2020,Март,у хиљадама КМ,Извоз,977148
2020,Април,у хиљадама КМ,Увоз,1235871
2020,Мај,у хиљадама КМ,Увоз,1567515
2020,Јуни,у хиљадама КМ,Увоз,1483047
2020,Јули,у хиљадама КМ,Увоз,1133427
2020,Август,у хиљадама КМ,Увоз,1183197
2020,Септембар,у хиљадама КМ,Увоз,1416588
2020,Октобар,у хиљадама КМ,Увоз,1511289
2020,Новембар,у хиљадама КМ,Увоз,1306882
2020,Децембар,у хиљадама КМ,Увоз,1483216
