Year,UNIT_MEASURE,Тип,Value
a)2019 - 2020 Јануар,Индеx,Укупно,-2.0
b)2019 - 2020 Фебруар,Индеx,Укупно,-2.8
c)2019 - 2020 Март,Индеx,Укупно,-12.6
d)2019 - 2020 Април,Индеx,Укупно,-29.5
e)2019 - 2020 Мај,Индеx,Укупно,-24.5
f)2019 - 2020 Јуни,Индеx,Укупно,-18.2
g)2019 - 2020 Јули,Индеx,Укупно,-10.1
h)2019 - 2020 Август,Индеx,Укупно,-0.4
i)2019 - 2020 Септембар,Индеx,Укупно,-1.3
a)2019 - 2020 Јануар,Индеx,Интермедијарни производи,-4.0
b)2019 - 2020 Фебруар,Индеx,Интермедијарни производи,-4.6
c)2019 - 2020 Март,Индеx,Интермедијарни производи,-14.3
d)2019 - 2020 Април,Индеx,Интермедијарни производи,-26.7
e)2019 - 2020 Мај,Индеx,Интермедијарни производи,-19.2
f)2019 - 2020 Јуни,Индеx,Интермедијарни производи,-20.1
g)2019 - 2020 Јули,Индеx,Интермедијарни производи,-7.9
h)2019 - 2020 Август,Индеx,Интермедијарни производи,1.2
i)2019 - 2020 Септембар,Индеx,Интермедијарни производи,-4.9
a)2019 - 2020 Јануар,Индеx,Енергија,-43.6
b)2019 - 2020 Фебруар,Индеx,Енергија,-37.6
c)2019 - 2020 Март,Индеx,Енергија,-32.5
d)2019 - 2020 Април,Индеx,Енергија,-49.8
e)2019 - 2020 Мај,Индеx,Енергија,-52.5
f)2019 - 2020 Јуни,Индеx,Енергија,-53.0
g)2019 - 2020 Јули,Индеx,Енергија,-57.7
h)2019 - 2020 Август,Индеx,Енергија,-5.7
i)2019 - 2020 Септембар,Индеx,Енергија,-13.5
a)2019 - 2020 Јануар,Индеx,Капитални производи,3.1
b)2019 - 2020 Фебруар,Индеx,Капитални производи,1.1
c)2019 - 2020 Март,Индеx,Капитални производи,-27.1
d)2019 - 2020 Април,Индеx,Капитални производи,-41.1
e)2019 - 2020 Мај,Индеx,Капитални производи,-39.2
f)2019 - 2020 Јуни,Индеx,Капитални производи,-37.6
g)2019 - 2020 Јули,Индеx,Капитални производи,-3.3
h)2019 - 2020 Август,Индеx,Капитални производи,15.9
i)2019 - 2020 Септембар,Индеx,Капитални производи,10.8
a)2019 - 2020 Јануар,Индеx,Трајни производи за широку потрошњу,-2.0
b)2019 - 2020 Фебруар,Индеx,Трајни производи за широку потрошњу,2.1
c)2019 - 2020 Март,Индеx,Трајни производи за широку потрошњу,-24.9
d)2019 - 2020 Април,Индеx,Трајни производи за широку потрошњу,-51.6
e)2019 - 2020 Мај,Индеx,Трајни производи за широку потрошњу,-30.2
f)2019 - 2020 Јуни,Индеx,Трајни производи за широку потрошњу,3.8
g)2019 - 2020 Јули,Индеx,Трајни производи за широку потрошњу,3.8
h)2019 - 2020 Август,Индеx,Трајни производи за широку потрошњу,6.5
i)2019 - 2020 Септембар,Индеx,Трајни производи за широку потрошњу,14.9
a)2019 - 2020 Јануар,Индеx,Нетрајни производи за широку потрошњу,12.1
b)2019 - 2020 Фебруар,Индеx,Нетрајни производи за широку потрошњу,8.7
c)2019 - 2020 Март,Индеx,Нетрајни производи за широку потрошњу,6.5
d)2019 - 2020 Април,Индеx,Нетрајни производи за широку потрошњу,-17.3
e)2019 - 2020 Мај,Индеx,Нетрајни производи за широку потрошњу,-14.4
f)2019 - 2020 Јуни,Индеx,Нетрајни производи за широку потрошњу,1.9
g)2019 - 2020 Јули,Индеx,Нетрајни производи за широку потрошњу,-2.8
h)2019 - 2020 Август,Индеx,Нетрајни производи за широку потрошњу,-8.9
i)2019 - 2020 Септембар,Индеx,Нетрајни производи за широку потрошњу,0.9
