Year,UNIT_MEASURE,Тип,Value
a)Јануар,Број,Запослени 2019,823455
b)Фебруар,Број,Запослени 2019,819410
c)Март,Број,Запослени 2019,822275
d)Април,Број,Запослени 2019,827121
e)Мај,Број,Запослени 2019,819832
f)Јуни,Број,Запослени 2019,821124
g)Јули,Број,Запослени 2019,821791
h)Август,Број,Запослени 2019,816926
a)Јануар,Број,Запослени 2020,833909
b)Фебруар,Број,Запослени 2020,832200
c)Март,Број,Запослени 2020,830421
d)Април,Број,Запослени 2020,808894
e)Мај,Број,Запослени 2020,800067
f)Јуни,Број,Запослени 2020,804028
g)Јули,Број,Запослени 2020,807326
h)Август,Број,Запослени 2020,799207
