Year,UNIT_MEASURE,Тип,Value
a)Јануар,IX,Укупан индекс 2019,100.1
b)Фебруар,IX,Укупан индекс 2019,100.2
c)Март,IX,Укупан индекс 2019,99.1
d)Април,IX,Укупан индекс 2019,100.4
e)Мај,IX,Укупан индекс 2019,100.2
f)Јуни,IX,Укупан индекс 2019,99.2
g)Јули,IX,Укупан индекс 2019,100.4
h)Август,IX,Укупан индекс 2019,99.9
i)Септембар,IX,Укупан индекс 2019,99.5
j)Октобар,IX,Укупан индекс 2019,99.0
k)Новембар,IX,Укупан индекс 2019,99.6
l)Децембар,IX,Укупан индекс 2019,99.8
a)Јануар,IX,Укупан индекс 2020,99.9
b)Фебруар,IX,Укупан индекс 2020,99.9
c)Март,IX,Укупан индекс 2020,99.1
d)Април,IX,Укупан индекс 2020,99.9
e)Мај,IX,Укупан индекс 2020,99.9
f)Јуни,IX,Укупан индекс 2020,99.5
g)Јули,IX,Укупан индекс 2020,100.2
h)Август,IX,Укупан индекс 2020,99.9
i)Септембар,IX,Укупан индекс 2020,100.3
j)Октобар,IX,Укупан индекс 2020,98.8
k)Новембар,IX,Укупан индекс 2020,98.6
l)Децембар,IX,Укупан индекс 2020,101.2
a)Јануар,IX,Укупан индекс 2021,100.3
b)Фебруар,IX,Укупан индекс 2021,101.6
c)Март,IX,Укупан индекс 2021,99.8
a)Јануар,IX,Домаће тржиште 2019,99.6
b)Фебруар,IX,Домаће тржиште 2019,100.4
c)Март,IX,Домаће тржиште 2019,98.2
d)Април,IX,Домаће тржиште 2019,101.0
e)Мај,IX,Домаће тржиште 2019,100.5
f)Јуни,IX,Домаће тржиште 2019,99.0
g)Јули,IX,Домаће тржиште 2019,100.2
h)Август,IX,Домаће тржиште 2019,100.0
i)Септембар,IX,Домаће тржиште 2019,100.1
j)Октобар,IX,Домаће тржиште 2019,99.0
k)Новембар,IX,Домаће тржиште 2019,100.3
l)Децембар,IX,Домаће тржиште 2019,100.0
a)Јануар,IX,Домаће тржиште 2020,100.0
b)Фебруар,IX,Домаће тржиште 2020,100.0
c)Март,IX,Домаће тржиште 2020,98.5
d)Април,IX,Домаће тржиште 2020,99.6
e)Мај,IX,Домаће тржиште 2020,99.7
f)Јуни,IX,Домаће тржиште 2020,99.7
g)Јули,IX,Домаће тржиште 2020,100.0
h)Август,IX,Домаће тржиште 2020,99.9
i)Септембар,IX,Домаће тржиште 2020,100.3
j)Октобар,IX,Домаће тржиште 2020,98.1
k)Новембар,IX,Домаће тржиште 2020,98.2
l)Децембар,IX,Домаће тржиште 2020,101.6
a)Јануар,IX,Домаће тржиште 2021,100.1
b)Фебруар,IX,Домаће тржиште 2021,101.8
c)Март,IX,Домаће тржиште 2021,99.0
a)Јануар,IX,Недомаће тржиште 2019,100.8
b)Фебруар,IX,Недомаће тржиште 2019,100.1
c)Март,IX,Недомаће тржиште 2019,100.6
d)Април,IX,Недомаће тржиште 2019,99.5
e)Мај,IX,Недомаће тржиште 2019,99.7
f)Јуни,IX,Недомаће тржиште 2019,99.4
g)Јули,IX,Недомаће тржиште 2019,100.9
h)Август,IX,Недомаће тржиште 2019,99.7
i)Септембар,IX,Недомаће тржиште 2019,98.5
j)Октобар,IX,Недомаће тржиште 2019,99.0
k)Новембар,IX,Недомаће тржиште 2019,98.6
l)Децембар,IX,Недомаће тржиште 2019,99.5
a)Јануар,IX,Недомаће тржиште 2020,99.9
b)Фебруар,IX,Недомаће тржиште 2020,99.8
c)Март,IX,Недомаће тржиште 2020,100.1
d)Април,IX,Недомаће тржиште 2020,99.7
e)Мај,IX,Недомаће тржиште 2020,100.2
f)Јуни,IX,Недомаће тржиште 2020,99.2
g)Јули,IX,Недомаће тржиште 2020,100.4
h)Август,IX,Недомаће тржиште 2020,100.0
i)Септембар,IX,Недомаће тржиште 2020,100.4
j)Октобар,IX,Недомаће тржиште 2020,99.8
k)Новембар,IX,Недомаће тржиште 2020,99.2
l)Децембар,IX,Недомаће тржиште 2020,100.4
a)Јануар,IX,Недомаће тржиште 2021,100.6
b)Фебруар,IX,Недомаће тржиште 2021,101.5
c)Март,IX,Недомаће тржиште 2021,101.1
