Year,UNIT_MEASURE,Тип,Value
a)Јануар,Индеx,Укупно трговина на мало 2019,123.6
b)Фебруар,Индеx,Укупно трговина на мало 2019,128.5
c)Март,Индеx,Укупно трговина на мало 2019,128.8
d)Април,Индеx,Укупно трговина на мало 2019,126.2
e)Мај,Индеx,Укупно трговина на мало 2019,122.0
f)Јуни,Индеx,Укупно трговина на мало 2019,128.6
g)Јули,Индеx,Укупно трговина на мало 2019,128.3
h)Август,Индеx,Укупно трговина на мало 2019,129.2
i)Септембар,Индеx,Укупно трговина на мало 2019,127.1
a)Јануар,Индеx,Укупно трговина на мало 2020,133.7
b)Фебруар,Индеx,Укупно трговина на мало 2020,137.5
c)Март,Индеx,Укупно трговина на мало 2020,119.8
d)Април,Индеx,Укупно трговина на мало 2020,85.0
e)Мај,Индеx,Укупно трговина на мало 2020,111.7
f)Јуни,Индеx,Укупно трговина на мало 2020,120.8
g)Јули,Индеx,Укупно трговина на мало 2020,114.0
h)Август,Индеx,Укупно трговина на мало 2020,111.1
i)Септембар,Индеx,Укупно трговина на мало 2020,120.8
