Year,UNIT_MEASURE,Тип,Value
a)2019 - 2020 Јануар,Индеx,Порез на додану вриједност,102.68
b)2019 - 2020 Фебруар,Индеx,Порез на додану вриједност,108.04
c)2019 - 2020 Март,Индеx,Порез на додану вриједност,99.23
d)2019 - 2020 Април,Индеx,Порез на додану вриједност,76.73
e)2019 - 2020 Мај,Индеx,Порез на додану вриједност,69.59
f)2019 - 2020 Јуни,Индеx,Порез на додану вриједност,93.0
g)2019 - 2020 Јули,Индеx,Порез на додану вриједност,98.56
h)2019 - 2020 Август,Индеx,Порез на додану вриједност,84.9
i)2019 - 2020 Септембар,Индеx,Порез на додану вриједност,91.99
j)2019 - 2020 Октобар,Индеx,Порез на додану вриједност,96.15
k)2019 - 2020 Новембар,Индеx,Порез на додану вриједност,93.91
l)2019 - 2020 Децембар,Индеx,Порез на додану вриједност,95.27
a)2019 - 2020 Јануар,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",102.24
b)2019 - 2020 Фебруар,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",109.0
c)2019 - 2020 Март,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",90.08
d)2019 - 2020 Април,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",56.7
e)2019 - 2020 Мај,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",63.74
f)2019 - 2020 Јуни,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",89.74
g)2019 - 2020 Јули,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",92.66
h)2019 - 2020 Август,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",82.75
i)2019 - 2020 Септембар,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",91.35
j)2019 - 2020 Октобар,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",91.45
k)2019 - 2020 Новембар,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",90.97
l)2019 - 2020 Децембар,Индеx,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",93.6
a)2019 - 2020 Јануар,Индеx,Акциза на увозне производе,96.36
b)2019 - 2020 Фебруар,Индеx,Акциза на увозне производе,124.3
c)2019 - 2020 Март,Индеx,Акциза на увозне производе,130.95
d)2019 - 2020 Април,Индеx,Акциза на увозне производе,101.58
e)2019 - 2020 Мај,Индеx,Акциза на увозне производе,52.06
f)2019 - 2020 Јуни,Индеx,Акциза на увозне производе,96.95
g)2019 - 2020 Јули,Индеx,Акциза на увозне производе,76.47
h)2019 - 2020 Август,Индеx,Акциза на увозне производе,75.01
i)2019 - 2020 Септембар,Индеx,Акциза на увозне производе,87.61
j)2019 - 2020 Октобар,Индеx,Акциза на увозне производе,81.27
k)2019 - 2020 Новембар,Индеx,Акциза на увозне производе,103.17
l)2019 - 2020 Децембар,Индеx,Акциза на увозне производе,79.05
a)2019 - 2020 Јануар,Индеx,Акциза на домаће производе,39.08
b)2019 - 2020 Фебруар,Индеx,Акциза на домаће производе,37.23
c)2019 - 2020 Март,Индеx,Акциза на домаће производе,79.14
d)2019 - 2020 Април,Индеx,Акциза на домаће производе,13.29
e)2019 - 2020 Мај,Индеx,Акциза на домаће производе,30.71
f)2019 - 2020 Јуни,Индеx,Акциза на домаће производе,66.47
g)2019 - 2020 Јули,Индеx,Акциза на домаће производе,73.22
h)2019 - 2020 Август,Индеx,Акциза на домаће производе,83.15
i)2019 - 2020 Септембар,Индеx,Акциза на домаће производе,75.57
j)2019 - 2020 Октобар,Индеx,Акциза на домаће производе,117.43
k)2019 - 2020 Новембар,Индеx,Акциза на домаће производе,64.28
l)2019 - 2020 Децембар,Индеx,Акциза на домаће производе,62.21
a)2019 - 2020 Јануар,Индеx,Посебна такса (путарина) на нафтне деривате,98.18
b)2019 - 2020 Фебруар,Индеx,Посебна такса (путарина) на нафтне деривате,106.13
c)2019 - 2020 Март,Индеx,Посебна такса (путарина) на нафтне деривате,106.08
d)2019 - 2020 Април,Индеx,Посебна такса (путарина) на нафтне деривате,66.56
e)2019 - 2020 Мај,Индеx,Посебна такса (путарина) на нафтне деривате,89.87
f)2019 - 2020 Јуни,Индеx,Посебна такса (путарина) на нафтне деривате,95.43
g)2019 - 2020 Јули,Индеx,Посебна такса (путарина) на нафтне деривате,80.37
h)2019 - 2020 Август,Индеx,Посебна такса (путарина) на нафтне деривате,75.88
i)2019 - 2020 Септембар,Индеx,Посебна такса (путарина) на нафтне деривате,91.53
