Year,UNIT_MEASURE,Тип,Value
a)Јануар,Број,Домаћи туристи 2019,56765
b)Фебруар,Број,Домаћи туристи 2019,55616
c)Март,Број,Домаћи туристи 2019,80776
d)Април,Број,Домаћи туристи 2019,79264
e)Мај,Број,Домаћи туристи 2019,103960
f)Јуни,Број,Домаћи туристи 2019,93363
g)Јули,Број,Домаћи туристи 2019,93363
h)Август,Број,Домаћи туристи 2019,97373
i)Септембар,Број,Домаћи туристи 2019,87541
a)Јануар,Број,Домаћи туристи 2020,59641
b)Фебруар,Број,Домаћи туристи 2020,58055
c)Март,Број,Домаћи туристи 2020,31515
d)Април,Број,Домаћи туристи 2020,2310
e)Мај,Број,Домаћи туристи 2020,1670
f)Јуни,Број,Домаћи туристи 2020,13471
g)Јули,Број,Домаћи туристи 2020,111824
h)Август,Број,Домаћи туристи 2020,156165
i)Септембар,Број,Домаћи туристи 2020,106510
a)Јануар,Број,Страни туристи 2019,101438
b)Фебруар,Број,Страни туристи 2019,119711
c)Март,Број,Страни туристи 2019,131648
d)Април,Број,Страни туристи 2019,207194
e)Мај,Број,Страни туристи 2019,245634
f)Јуни,Број,Страни туристи 2019,329756
g)Јули,Број,Страни туристи 2019,357357
h)Август,Број,Страни туристи 2019,357357
i)Септембар,Број,Страни туристи 2019,240968
a)Јануар,Број,Страни туристи 2020,126406
b)Фебруар,Број,Страни туристи 2020,112000
c)Март,Број,Страни туристи 2020,36353
d)Април,Број,Страни туристи 2020,5541
e)Мај,Број,Страни туристи 2020,12043
f)Јуни,Број,Страни туристи 2020,41580
g)Јули,Број,Страни туристи 2020,22763
h)Август,Број,Страни туристи 2020,51555
i)Септембар,Број,Страни туристи 2020,34695
