Year,Value,UNIT_MEASURE,SERIES
2006,0.4,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2007,0.3,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2008,0.9,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2009,0.9,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2010,1.2,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2011,1.4,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2012,1.6,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2013,2.0,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2014,1.9,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2015,2.1,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2016,1.7,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2017,2.7,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2018,4.0,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
2019,5.0,Амерички долар,"Укупни званични токови стипендија, према земљама примаоцима"
