Year,Value,UNIT_MEASURE,SERIES
2000,12.86,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2001,1.77,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2002,4.95,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2003,4.18,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2004,7.92,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2005,5.33,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2006,6.87,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2007,2.15,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2008,-2.75,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2009,-0.38,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2010,5.34,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2011,3.88,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2012,0.62,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2013,3.79,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2014,0.18,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2015,4.44,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2016,1.46,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2017,-2.11,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2018,2.6,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2019,-1.52,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2020,-1.91,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2021,1.95,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
2022,3.04,PT,Годишња стопа раста реалног БДП-а по запосленом лицу
