Year,Value,UNIT_MEASURE,SERIES
2005,113.76155,константни амерички долари,DC_TOF_TRDCML
2006,196.89985,константни амерички долари,DC_TOF_TRDCML
2007,154.94478,константни амерички долари,DC_TOF_TRDCML
2008,134.03715,константни амерички долари,DC_TOF_TRDCML
2009,212.13171,константни амерички долари,DC_TOF_TRDCML
2010,232.27405,константни амерички долари,DC_TOF_TRDCML
2011,225.82849,константни амерички долари,DC_TOF_TRDCML
2012,218.08434,константни амерички долари,DC_TOF_TRDCML
2013,448.30314,константни амерички долари,DC_TOF_TRDCML
2014,525.51593,константни амерички долари,DC_TOF_TRDCML
2015,78.26739,константни амерички долари,DC_TOF_TRDCML
2016,62.93301,константни амерички долари,DC_TOF_TRDCML
2017,206.46492,константни амерички долари,DC_TOF_TRDCML
2018,171.81998,константни амерички долари,DC_TOF_TRDCML
2006,74.98621,константни амерички долари,DC_TOF_TRDDBML
2007,88.84701,константни амерички долари,DC_TOF_TRDDBML
2008,114.77843,константни амерички долари,DC_TOF_TRDDBML
2009,99.74611,константни амерички долари,DC_TOF_TRDDBML
2010,121.37097,константни амерички долари,DC_TOF_TRDDBML
2011,290.97038,константни амерички долари,DC_TOF_TRDDBML
2012,310.8811,константни амерички долари,DC_TOF_TRDDBML
2013,245.7912,константни амерички долари,DC_TOF_TRDDBML
2014,247.10757,константни амерички долари,DC_TOF_TRDDBML
2015,155.02131,константни амерички долари,DC_TOF_TRDDBML
2016,227.59102,константни амерички долари,DC_TOF_TRDDBML
2017,229.27011,константни амерички долари,DC_TOF_TRDDBML
2018,204.39546,константни амерички долари,DC_TOF_TRDDBML
