Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2005,TM_TRF_ZERO,PT,AGR,78.11705
2010,TM_TRF_ZERO,PT,AGR,86.55545
2015,TM_TRF_ZERO,PT,AGR,77.26098
2016,TM_TRF_ZERO,PT,AGR,72.09544
2017,TM_TRF_ZERO,PT,AGR,80.38654
2018,TM_TRF_ZERO,PT,AGR,80.10167
2019,TM_TRF_ZERO,PT,AGR,78.26421
2020,TM_TRF_ZERO,PT,AGR,78.38638
2021,TM_TRF_ZERO,PT,AGR,77.4627
2022,TM_TRF_ZERO,PT,AGR,77.34604
2023,TM_TRF_ZERO,PT,AGR,76.95282
2024,TM_TRF_ZERO,PT,AGR,76.92308
2005,TM_TRF_ZERO,PT,ALP,80.36611
2010,TM_TRF_ZERO,PT,ALP,77.00822
2015,TM_TRF_ZERO,PT,ALP,72.14442
2016,TM_TRF_ZERO,PT,ALP,62.6327
2017,TM_TRF_ZERO,PT,ALP,71.74151
2018,TM_TRF_ZERO,PT,ALP,71.94006
2019,TM_TRF_ZERO,PT,ALP,68.96074
2020,TM_TRF_ZERO,PT,ALP,69.52374
2021,TM_TRF_ZERO,PT,ALP,68.9646
2022,TM_TRF_ZERO,PT,ALP,67.84578
2023,TM_TRF_ZERO,PT,ALP,67.34357
2024,TM_TRF_ZERO,PT,ALP,66.45491
2005,TM_TRF_ZERO,PT,ARM,84.375
2010,TM_TRF_ZERO,PT,ARM,100.0
2015,TM_TRF_ZERO,PT,ARM,66.66667
2016,TM_TRF_ZERO,PT,ARM,68.42105
2017,TM_TRF_ZERO,PT,ARM,72.22222
2018,TM_TRF_ZERO,PT,ARM,72.22222
2019,TM_TRF_ZERO,PT,ARM,81.48148
2020,TM_TRF_ZERO,PT,ARM,82.22222
2021,TM_TRF_ZERO,PT,ARM,75.5556
2022,TM_TRF_ZERO,PT,ARM,75.4386
2023,TM_TRF_ZERO,PT,ARM,60.34483
2024,TM_TRF_ZERO,PT,ARM,60.34483
2005,TM_TRF_ZERO,PT,CLO,49.75369
2010,TM_TRF_ZERO,PT,CLO,39.92188
2015,TM_TRF_ZERO,PT,CLO,42.10526
2016,TM_TRF_ZERO,PT,CLO,33.31467
2017,TM_TRF_ZERO,PT,CLO,44.23565
2018,TM_TRF_ZERO,PT,CLO,45.09502
2019,TM_TRF_ZERO,PT,CLO,41.31455
2020,TM_TRF_ZERO,PT,CLO,43.83627
2021,TM_TRF_ZERO,PT,CLO,41.5315
2022,TM_TRF_ZERO,PT,CLO,40.76408
2023,TM_TRF_ZERO,PT,CLO,40.48964
2024,TM_TRF_ZERO,PT,CLO,38.5214
2005,TM_TRF_ZERO,PT,IND,85.44423
2010,TM_TRF_ZERO,PT,IND,82.15344
2015,TM_TRF_ZERO,PT,IND,78.20907
2016,TM_TRF_ZERO,PT,IND,69.63315
2017,TM_TRF_ZERO,PT,ND,75.68703
2018,TM_TRF_ZERO,PT,IND,75.75446
2019,TM_TRF_ZERO,PT,IND,73.20584
2020,TM_TRF_ZERO,PT,IND,73.47208
2021,TM_TRF_ZERO,PT,IND,73.20379
2022,TM_TRF_ZERO,PT,IND,72.19321
2023,TM_TRF_ZERO,PT,IND,71.94147
2024,TM_TRF_ZERO,PT,IND,71.21809
2005,TM_TRF_ZERO,PT,OIL,0.0
2015,TM_TRF_ZERO,PT,OIL,100.0
2005,TM_TRF_ZERO,PT,TEX,86.64921
2010,TM_TRF_ZERO,PT,TEX,83.00971
2015,TM_TRF_ZERO,PT,TEX,81.26195
2016,TM_TRF_ZERO,PT,TEX,69.17808
2017,TM_TRF_ZERO,PT,TEX,84.49477
2018,TM_TRF_ZERO,PT,TEX,85.31469
2019,TM_TRF_ZERO,PT,TEX,77.11016
2020,TM_TRF_ZERO,PT,TEX,78.37838
2021,TM_TRF_ZERO,PT,TEX,79.03469
2022,TM_TRF_ZERO,PT,TEX,79.94467
2023,TM_TRF_ZERO,PT,TEX,78.93333
2024,TM_TRF_ZERO,PT,TEX,77.77778
