Year,SERIES,UNIT_MEASURE,WASTE_TREATMENT,ACTIVITY,Value
2014,EN_HAZ_EXP,TONNES,,,0.0
2016,EN_HAZ_GENV,TONNES,,,13292.0
2018,EN_HAZ_GENV,TONNES,,,14157.0
2020,EN_HAZ_GENV,TONNES,,,9942.0
2016,EN_HAZ_PCAP,KG,,,3.9
2018,EN_HAZ_PCAP,KG,,,3.8
2020,EN_HAZ_PCAP,KG,,,2.9
2016,EN_HAZ_GENGDP,KG_PER_CON_USD,,,0.0008
2014,EN_HAZ_IMP,TONNES,,,0.0
2012,EN_HAZ_TREATV,TONNES,INCINRT,,0.0
2008,EN_MWT_COLLV,TONNES,,,1367090.0
2009,EN_MWT_COLLV,TONNES,,,1260060.0
2010,EN_MWT_COLLV,TONNES,,,1057768.0
2011,EN_MWT_COLLV,TONNES,,,1027006.0
2012,EN_MWT_COLLV,TONNES,,,964121.0
2013,EN_MWT_COLLV,TONNES,,,882049.0
2014,EN_MWT_COLLV,TONNES,,,989546.0
2015,EN_MWT_COLLV,TONNES,,,924051.0
2016,EN_MWT_COLLV,TONNES,,,920478.0
2017,EN_MWT_COLLV,TONNES,,,914232.0
2018,EN_MWT_COLLV,TONNES,,,920540.0
2019,EN_MWT_COLLV,TONNES,,,933455.0
2020,EN_MWT_COLLV,TONNES,,,922844.0
2021,EN_MWT_COLLV,TONNES,,,940405.0
2016,EN_MWT_GENV,TONNES,,,1243889.0
2019,EN_MWT_GENV,TONNES,,,1228309.0
2020,EN_MWT_GENV,TONNES,,,1206147.0
2021,EN_MWT_GENV,TONNES,,,1228916.0
2017,EN_MWT_TREATR,PT,LANDFIL,,99.47
2018,EN_MWT_TREATR,PT,LANDFIL,,98.91
2019,EN_MWT_TREATR,PT,LANDFIL,,95.93
2020,EN_MWT_TREATR,PT,LANDFIL,,98.91
2021,EN_MWT_TREATR,PT,LANDFIL,,99.32
2016,EN_TWT_GENV,TONNES,,ISIC4_A,0.0
2018,EN_TWT_GENV,TONNES,,ISIC4_A,0.0
2020,EN_TWT_GENV,TONNES,,ISIC4_A,0.0
2016,EN_TWT_GENV,TONNES,,ISIC4_B,216356.0
2018,EN_TWT_GENV,TONNES,,ISIC4_B,23701.0
2020,EN_TWT_GENV,TONNES,,ISIC4_B,765270.0
2016,EN_TWT_GENV,TONNES,,ISIC4_C,1422448.0
2018,EN_TWT_GENV,TONNES,,ISIC4_C,1893270.0
2020,EN_TWT_GENV,TONNES,,ISIC4_C,1842260.0
2016,EN_TWT_GENV,TONNES,,ISIC4_D,3061988.0
2018,EN_TWT_GENV,TONNES,,ISIC4_D,3247689.0
2020,EN_TWT_GENV,TONNES,,ISIC4_D,3129364.0
2016,EN_TWT_GENV,TONNES,,ISIC4_F,156918.0
2018,EN_TWT_GENV,TONNES,,ISIC4_F,122916.0
2020,EN_TWT_GENV,TONNES,,ISIC4_F,85972.0
2016,EN_TWT_GENV,TONNES,,ISIC4_T,
2018,EN_TWT_GENV,TONNES,,ISIC4_T,
2020,EN_TWT_GENV,TONNES,,ISIC4_T,
2016,EN_TWT_GENV,TONNES,,_T,4857710.0
2018,EN_TWT_GENV,TONNES,,_T,5287576.0
2020,EN_TWT_GENV,TONNES,,_T,5822866.0
