Year,SERIES,UNIT_MEASURE,Value
2010,ER_FFS_CMPT_GDP,PT,0.0
2014,ER_FFS_CMPT_GDP,PT,0.0
2015,ER_FFS_CMPT_GDP,PT,0.00914
2016,ER_FFS_CMPT_GDP,PT,0.00818
2017,ER_FFS_CMPT_GDP,PT,0.01669
2018,ER_FFS_CMPT_GDP,PT,0.01781
2019,ER_FFS_CMPT_GDP,PT,0.01845
2020,ER_FFS_CMPT_GDP,PT,0.01584
2021,ER_FFS_CMPT_GDP,PT,0.06628
2022,ER_FFS_CMPT_GDP,PT,0.16431
2023,ER_FFS_CMPT_GDP,PT,0.03464
2024,ER_FFS_CMPT_GDP,PT,0.0252
2010,ER_FFS_CMPT_CD,CU_USD_B,0.0
2014,ER_FFS_CMPT_CD,CU_USD_B,0.0
2015,ER_FFS_CMPT_CD,CU_USD_B,0.00175
2016,ER_FFS_CMPT_CD,CU_USD_B,0.00161
2017,ER_FFS_CMPT_CD,CU_USD_B,0.00342
2018,ER_FFS_CMPT_CD,CU_USD_B,0.00376
2019,ER_FFS_CMPT_CD,CU_USD_B,0.00399
2020,ER_FFS_CMPT_CD,CU_USD_B,0.06192
2021,ER_FFS_CMPT_CD,CU_USD_B,0.01502
2022,ER_FFS_CMPT_CD,CU_USD_B,0.03955
2023,ER_FFS_CMPT_CD,CU_USD_B,0.00868
2024,ER_FFS_CMPT_CD,CU_USD_B,0.00648
2010,ER_FFS_CMPT_PC_CD,CU_USD,0.0
2014,ER_FFS_CMPT_PC_CD,CU_USD,0.0
2015,ER_FFS_CMPT_PC_CD,CU_USD,0.49653
2016,ER_FFS_CMPT_PC_CD,CU_USD,0.46394
2017,ER_FFS_CMPT_PC_CD,CU_USD,0.99701
2018,ER_FFS_CMPT_PC_CD,CU_USD,1.11153
2019,ER_FFS_CMPT_PC_CD,CU_USD,1.19317
2020,ER_FFS_CMPT_PC_CD,CU_USD,1.01347
2021,ER_FFS_CMPT_PC_CD,CU_USD,4.62828
2022,ER_FFS_CMPT_PC_CD,CU_USD,12.34209
2023,ER_FFS_CMPT_PC_CD,CU_USD,2.72548
2024,ER_FFS_CMPT_PC_CD,CU_USD,2.04675
