Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2014,VC_HTF_DETVFL,NUMBER,F,Y0T17,
2015,VC_HTF_DETVFL,NUMBER,F,Y0T17,
2014,VC_HTF_DETVFL,NUMBER,M,Y0T17,
2015,VC_HTF_DETVFL,NUMBER,M,Y0T17,
2014,VC_HTF_DETVFL,NUMBER,F,Y_GE18,
2015,VC_HTF_DETVFL,NUMBER,F,Y_GE18,
2014,VC_HTF_DETVFL,NUMBER,M,Y_GE18,
2015,VC_HTF_DETVFL,NUMBER,M,Y_GE18,
2010,VC_HTF_DETVFL,NUMBER,F,_T,1.0
2011,VC_HTF_DETVFL,NUMBER,F,_T,
2012,VC_HTF_DETVFL,NUMBER,F,_T,
2014,VC_HTF_DETVFL,NUMBER,F,_T,
2015,VC_HTF_DETVFL,NUMBER,F,_T,
2010,VC_HTF_DETVFL,NUMBER,M,_T,
2011,VC_HTF_DETVFL,NUMBER,M,_T,
2012,VC_HTF_DETVFL,NUMBER,M,_T,
2014,VC_HTF_DETVFL,NUMBER,M,_T,
2015,VC_HTF_DETVFL,NUMBER,M,_T,
2010,VC_HTF_DETVFL,NUMBER,_T,_T,17.0
2011,VC_HTF_DETVFL,NUMBER,_T,_T,10.0
2012,VC_HTF_DETVFL,NUMBER,_T,_T,13.0
2016,VC_HTF_DETVFL,NUMBER,_T,_T,13.0
2017,VC_HTF_DETVFL,NUMBER,_T,_T,7.0
2005,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2006,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2007,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2008,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2009,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2010,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2011,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2012,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2014,VC_HTF_DETVOP,NUMBER,F,Y0T17,13.0
2015,VC_HTF_DETVOP,NUMBER,F,Y0T17,
2005,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2006,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2007,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2008,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2009,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2010,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2011,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2012,VC_HTF_DETVOP,NUMBER,M,Y0T17,
2014,VC_HTF_DETVOP,NUMBER,M,Y0T17,18.0
2015,VC_HTF_DETVOP,NUMBER,M,Y0T17,10.0
2015,VC_HTF_DETVOP,NUMBER,F,Y_GE18,5.0
2015,VC_HTF_DETVOP,NUMBER,M,Y_GE18,6.0
2014,VC_HTF_DETVOP,NUMBER,_T,_T,36.0
2015,VC_HTF_DETVOP,NUMBER,_T,_T,28.0
2016,VC_HTF_DETVOP,NUMBER,_T,_T,23.0
2017,VC_HTF_DETVOP,NUMBER,_T,_T,57.0
2018,VC_HTF_DETVOP,NUMBER,_T,_T,17.0
2019,VC_HTF_DETVOP,NUMBER,_T,_T,46.0
2005,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2006,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2007,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2008,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2009,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2010,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2011,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2012,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2014,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2015,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2016,VC_HTF_DETVOG,NUMBER,F,Y0T17,
2005,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2006,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2007,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2008,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2009,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2010,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2011,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2012,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2014,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2015,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2016,VC_HTF_DETVOG,NUMBER,M,Y0T17,
2005,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2006,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2007,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2008,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2009,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2010,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2011,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2012,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2014,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2015,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2016,VC_HTF_DETVOG,NUMBER,F,Y_GE18,
2005,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
2006,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
2007,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
2008,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
2009,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
2010,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
2011,VC_HTF_DETVOG,NUMBER,M,Y_GE18,
