Year,SERIES,AGE,COMPOSITE_BREAKDOWN,SEX,OCCUPATION,UNIT_MEASURE,Value
2020,SG_DMK_PSRVC,_T,,F,ADMINPRO,RO,0.99
2020,SG_DMK_PSRVC,_T,,F,ASSOCPRO,RO,0.91
2020,SG_DMK_PSRVC,_T,,F,GENERAL,RO,1.19
2020,SG_DMK_PSRVC,_T,,F,OTHERMAN,RO,0.8
2020,SG_DMK_PSRVC,_T,,F,SENIORMAN,RO,0.29
2020,SG_DMK_PSRVC,<35Y,,_T,TOTAL_PSP,RO,0.44
2020,SG_DMK_PSRVC,_T,,F,TOTAL_PSP,RO,1.11
2021,SG_DMK_JDC,<=45Y,,_T,JUDGES,RO,0.49
2021,SG_DMK_JDC,_T,,F,JUDGES,RO,1.27
2021,SG_DMK_JDC_CNS,_T,,F,JUDGES,RO,1.17
2021,SG_DMK_JDC_HGR,_T,,F,JUDGES,RO,1.38
2021,SG_DMK_JDC_LWR,_T,,F,JUDGES,RO,1.26
2021,SG_DMK_PARLCC_JC,_U,HUM_RIGH,M,,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,Y_GE46,FINANCE,M,,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,Y_GE46,FOR_AFF,M,,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,Y_GE46,GEN_EQU,M,,NUMBER,1.0
2021,SG_DMK_PARLCC_UC,_U,DEFENCE,M,,NUMBER,1.0
2021,SG_DMK_PARLCC_UC,_X,FINANCE,_X,,NUMBER,0.0
2021,SG_DMK_PARLCC_UC,_X,FOR_AFF,_X,,NUMBER,0.0
2021,SG_DMK_PARLCC_UC,_X,GEN_EQU,_X,,NUMBER,0.0
2021,SG_DMK_PARLMP_LC,,,,,RO,0.50835
