Year,SERIES,UNIT_MEASURE,AGE,SEX,URBANISATION,Value
2015,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,9.8
2016,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,9.3
2017,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,8.0
2018,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,8.4
2019,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,10.4
2020,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,13.9
2021,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,15.5
2022,AG_PRD_FIESMS,PT,Y_GE15,F,ALLAREA,15.6
2015,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,9.4
2016,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,11.2
2017,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,9.4
2018,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,9.9
2019,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,9.7
2020,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,11.2
2021,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,11.3
2022,AG_PRD_FIESMS,PT,Y_GE15,M,ALLAREA,10.9
2015,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,9.6
2016,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,10.3
2017,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,8.7
2018,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,9.2
2019,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,10.0
2020,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,12.6
2021,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,13.4
2022,AG_PRD_FIESMS,PT,_T,_T,ALLAREA,13.3
2015,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,1.4
2016,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,1.4
2017,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,1.0
2018,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,1.3
2019,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,1.9
2020,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,2.7
2021,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,3.4
2022,AG_PRD_FIESS,PT,Y_GE15,F,ALLAREA,3.3
2015,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,1.7
2016,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,2.1
2017,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,1.6
2018,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,1.7
2019,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,2.0
2020,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,2.8
2021,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,2.9
2022,AG_PRD_FIESS,PT,Y_GE15,M,ALLAREA,2.2
2015,AG_PRD_FIESS,PT,_T,_T,ALLAREA,1.5
2016,AG_PRD_FIESS,PT,_T,_T,ALLAREA,1.8
