Year,SERIES,UNIT_MEASURE,Value
2001,AG_PRD_AGVAS,PT,
2002,AG_PRD_AGVAS,PT,
2003,AG_PRD_AGVAS,PT,
2004,AG_PRD_AGVAS,PT,
2005,AG_PRD_AGVAS,PT,
2006,AG_PRD_AGVAS,PT,
2007,AG_PRD_AGVAS,PT,
2008,AG_PRD_AGVAS,PT,
2009,AG_PRD_AGVAS,PT,
2010,AG_PRD_AGVAS,PT,6.8
2011,AG_PRD_AGVAS,PT,
2012,AG_PRD_AGVAS,PT,
2013,AG_PRD_AGVAS,PT,
2014,AG_PRD_AGVAS,PT,
2015,AG_PRD_AGVAS,PT,6.04
2016,AG_PRD_AGVAS,PT,6.17
2017,AG_PRD_AGVAS,PT,5.43
2018,AG_PRD_AGVAS,PT,5.72
2019,AG_PRD_AGVAS,PT,5.45
2020,AG_PRD_AGVAS,PT,5.91
2021,AG_PRD_AGVAS,PT,5.02
2022,AG_PRD_AGVAS,PT,4.83
2023,AG_PRD_AGVAS,PT,4.35
2003,AG_PRD_ORTIND,INDEX,
2004,AG_PRD_ORTIND,INDEX,
2005,AG_PRD_ORTIND,INDEX,
2006,AG_PRD_ORTIND,INDEX,
2007,AG_PRD_ORTIND,INDEX,
2008,AG_PRD_ORTIND,INDEX,
2009,AG_PRD_ORTIND,INDEX,
2010,AG_PRD_ORTIND,INDEX,0.25
2011,AG_PRD_ORTIND,INDEX,
2012,AG_PRD_ORTIND,INDEX,
2013,AG_PRD_ORTIND,INDEX,
2014,AG_PRD_ORTIND,INDEX,
2015,AG_PRD_ORTIND,INDEX,0.31
2016,AG_PRD_ORTIND,INDEX,0.25
2017,AG_PRD_ORTIND,INDEX,0.3
2018,AG_PRD_ORTIND,INDEX,0.26
2019,AG_PRD_ORTIND,INDEX,0.27
2020,AG_PRD_ORTIND,INDEX,0.3
2021,AG_PRD_ORTIND,INDEX,0.34
2022,AG_PRD_ORTIND,INDEX,0.4
2023,AG_PRD_ORTIND,INDEX,0.51
2003,AG_XPD_AGSGB,PT,
2004,AG_XPD_AGSGB,PT,
2005,AG_XPD_AGSGB,PT,
2006,AG_XPD_AGSGB,PT,
2007,AG_XPD_AGSGB,PT,
2008,AG_XPD_AGSGB,PT,
2009,AG_XPD_AGSGB,PT,
2010,AG_XPD_AGSGB,PT,1.72
2011,AG_XPD_AGSGB,PT,
2012,AG_XPD_AGSGB,PT,
2013,AG_XPD_AGSGB,PT,
2014,AG_XPD_AGSGB,PT,
2015,AG_XPD_AGSGB,PT,1.86
2016,AG_XPD_AGSGB,PT,1.55
2017,AG_XPD_AGSGB,PT,1.65
2018,AG_XPD_AGSGB,PT,1.51
2019,AG_XPD_AGSGB,PT,1.49
2020,AG_XPD_AGSGB,PT,1.8
2021,AG_XPD_AGSGB,PT,1.72
2022,AG_XPD_AGSGB,PT,1.95
2023,AG_XPD_AGSGB,PT,2.21
