Year,SERIES,UNIT_MEASURE,AGE,SEX,COMPOSITE_BREAKDOWN,Value
2015,SH_DTH_NCOM,PT,Y30T70,_T,,19.2
2019,SH_DTH_NCOM,PT,Y30T70,_T,,18.7
2015,SH_DTH_NCOM,PT,Y30T70,F,,14.1
2019,SH_DTH_NCOM,PT,Y30T70,F,,13.6
2015,SH_DTH_NCOM,PT,Y30T70,M,,24.6
2019,SH_DTH_NCOM,PT,Y30T70,M,,24.0
2015,SH_DTH_NCD,NUMBER,,_T,CAN,8056.0
2019,SH_DTH_NCD,NUMBER,,_T,CAN,8407.0
2015,SH_DTH_NCD,NUMBER,,F,CAN,3270.0
2019,SH_DTH_NCD,NUMBER,,F,CAN,3395.0
2015,SH_DTH_NCD,NUMBER,,_T,CAR,18648.0
2019,SH_DTH_NCD,NUMBER,,_T,CAR,19651.0
2015,SH_DTH_NCD,NUMBER,,F,CAR,10181.0
2019,SH_DTH_NCD,NUMBER,,F,CAR,10665.0
2015,SH_DTH_NCD,NUMBER,,_T,DIA,2476.0
2019,SH_DTH_NCD,NUMBER,,_T,DIA,2582.0
2015,SH_DTH_NCD,NUMBER,,F,DIA,1445.0
2019,SH_DTH_NCD,NUMBER,,F,DIA,1504.0
2015,SH_DTH_NCD,NUMBER,,_T,RES,1249.0
2019,SH_DTH_NCD,NUMBER,,_T,RES,1262.0
2015,SH_DTH_NCD,NUMBER,,M,CAN,4785.0
2019,SH_DTH_NCD,NUMBER,,M,CAN,5012.0
2015,SH_DTH_NCD,NUMBER,,M,CAR,8468.0
2019,SH_DTH_NCD,NUMBER,,M,CAR,8986.0
2015,SH_DTH_NCD,NUMBER,,M,DIA,1031.0
2019,SH_DTH_NCD,NUMBER,,M,DIA,1078.0
2015,SH_DTH_NCD,NUMBER,,F,RES,474.0
2019,SH_DTH_NCD,NUMBER,,F,RES,477.0
2015,SH_DTH_NCD,NUMBER,,M,RES,776.0
2019,SH_DTH_NCD,NUMBER,,M,RES,785.0
