Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SH_STA_TRAF,PER_100000_POP,_T,19.0
2005,SH_STA_TRAF,PER_100000_POP,_T,17.8
2010,SH_STA_TRAF,PER_100000_POP,_T,16.9
2015,SH_STA_TRAF,PER_100000_POP,_T,15.8
2019,SH_STA_TRAF,PER_100000_POP,_T,13.5
2000,SH_STA_TRAF,PER_100000_POP,F,10.2
2005,SH_STA_TRAF,PER_100000_POP,F,8.0
2010,SH_STA_TRAF,PER_100000_POP,F,7.4
2015,SH_STA_TRAF,PER_100000_POP,F,6.6
2019,SH_STA_TRAF,PER_100000_POP,F,5.9
2000,SH_STA_TRAF,PER_100000_POP,M,28.2
2005,SH_STA_TRAF,PER_100000_POP,M,27.9
2010,SH_STA_TRAF,PER_100000_POP,M,26.7
2015,SH_STA_TRAF,PER_100000_POP,M,25.4
2019,SH_STA_TRAF,PER_100000_POP,M,21.4
