Year,SERIES,UNIT_MEASURE,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,SEX,Type_of_household,Value
2021,SH_OOP_XPD_EARNNET40,PT,0-59,ALLAREA,_T,BOTHSEX,_T,8.11
2021,SH_OOP_XPD_EARNNET40,PT,60+,ALLAREA,_T,BOTHSEX,_T,9.36
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,18.78
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,11.24
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,15.36
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,12.25
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,10.92
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,8.58
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,_T,8.58
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ADTONLY,9.94
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ADTONLY,3.68
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ADTWCHLDADO,18.23
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ADTWCHLDADO,9.06
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ADTWOLDER,17.51
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ADTWOLDER,7.95
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_MULTIGEN,30.34
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_MULTIGEN,16.66
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ONLYOLDER,18.3
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,BOTHSEX,HH_ONLYOLDER,7.47
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,F,_T,11.27
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,F,_T,14.35
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,F,_T,10.98
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,F,_T,9.73
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,F,_T,7.12
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,F,_T,7.49
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,M,_T,11.24
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,M,_T,13.43
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,M,_T,12.49
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,M,_T,11.17
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,M,_T,8.88
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,_T,M,_T,8.81
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,64.67
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,38.62
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,50.52
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,45.32
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,38.16
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,36.42
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q1,BOTHSEX,_T,37.4
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,10.0
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,9.03
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,10.15
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,9.27
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,10.11
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,4.49
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q2,BOTHSEX,_T,3.64
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,7.71
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,4.29
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,3.96
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,3.18
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,2.68
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,1.08
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q3,BOTHSEX,_T,1.05
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,3.43
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,2.22
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,2.08
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,1.59
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,1.15
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,0.51
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q4,BOTHSEX,_T,0.5
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,2.06
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,2.04
2007,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,1.06
2011,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,1.85
2015,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,2.47
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,0.27
2022,SH_OOP_XPD_EARNNET40,PT,ALLAGE,ALLAREA,Q5,BOTHSEX,_T,0.3
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,R,_T,BOTHSEX,_T,19.82
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,R,_T,BOTHSEX,_T,13.86
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,R,_T,BOTHSEX,_T,10.42
2001,SH_OOP_XPD_EARNNET40,PT,ALLAGE,U,_T,BOTHSEX,_T,17.4
2004,SH_OOP_XPD_EARNNET40,PT,ALLAGE,U,_T,BOTHSEX,_T,7.3
2021,SH_OOP_XPD_EARNNET40,PT,ALLAGE,U,_T,BOTHSEX,_T,6.19
