Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_PRV_SMOK,PT,Y_GE15,_T,46.3
2005,SH_PRV_SMOK,PT,Y_GE15,_T,43.7
2010,SH_PRV_SMOK,PT,Y_GE15,_T,41.4
2015,SH_PRV_SMOK,PT,Y_GE15,_T,39.6
2016,SH_PRV_SMOK,PT,Y_GE15,_T,39.1
2017,SH_PRV_SMOK,PT,Y_GE15,_T,38.7
2018,SH_PRV_SMOK,PT,Y_GE15,_T,38.3
2000,SH_PRV_SMOK,PT,Y_GE15,F,35.0
2005,SH_PRV_SMOK,PT,Y_GE15,F,33.4
2010,SH_PRV_SMOK,PT,Y_GE15,F,32.1
2015,SH_PRV_SMOK,PT,Y_GE15,F,31.1
2016,SH_PRV_SMOK,PT,Y_GE15,F,30.7
2017,SH_PRV_SMOK,PT,Y_GE15,F,30.5
2018,SH_PRV_SMOK,PT,Y_GE15,F,30.2
2000,SH_PRV_SMOK,PT,Y_GE15,M,57.7
2005,SH_PRV_SMOK,PT,Y_GE15,M,54.0
2010,SH_PRV_SMOK,PT,Y_GE15,M,50.7
2015,SH_PRV_SMOK,PT,Y_GE15,M,48.0
2016,SH_PRV_SMOK,PT,Y_GE15,M,47.5
2017,SH_PRV_SMOK,PT,Y_GE15,M,46.9
2018,SH_PRV_SMOK,PT,Y_GE15,M,46.3
