Year,SERIES,UNIT_MEASURE,SEX,OCCUPATION,Value
2014,SH_MED_DEN,PER_10000_POP,,ISCO08_221,20.8
2015,SH_MED_DEN,PER_10000_POP,,ISCO08_221,21.03
2014,SH_MED_DEN,PER_10000_POP,,ISCO08_2262,1.24
2015,SH_MED_DEN,PER_10000_POP,,ISCO08_2262,1.26
2014,SH_MED_DEN,PER_10000_POP,,ISCO08_222_322,59.79
2015,SH_MED_DEN,PER_10000_POP,,ISCO08_222_322,60.13
2016,SH_MED_DEN,PER_10000_POP,,ISCO08_222_322,53.24
2017,SH_MED_DEN,PER_10000_POP,,ISCO08_222_322,54.22
2018,SH_MED_DEN,PER_10000_POP,,ISCO08_222_322,56.05
2014,SH_MED_DEN,PER_10000_POP,,ISCO08_2261,2.31
2015,SH_MED_DEN,PER_10000_POP,,ISCO08_2261,2.34
2014,SH_MED_HWRKDIS,PT,F,ISCO08_222_322,78.2
2015,SH_MED_HWRKDIS,PT,F,ISCO08_222_322,78.6
2016,SH_MED_HWRKDIS,PT,F,ISCO08_222_322,78.2
2017,SH_MED_HWRKDIS,PT,F,ISCO08_222_322,77.7
2018,SH_MED_HWRKDIS,PT,F,ISCO08_222_322,77.5
2014,SH_MED_HWRKDIS,PT,M,ISCO08_222_322,21.8
2015,SH_MED_HWRKDIS,PT,M,ISCO08_222_322,21.4
2016,SH_MED_HWRKDIS,PT,M,ISCO08_222_322,21.8
2017,SH_MED_HWRKDIS,PT,M,ISCO08_222_322,22.3
2018,SH_MED_HWRKDIS,PT,M,ISCO08_222_322,22.5
2015,SH_MED_HWRKDIS,PT,F,ISCO08_221,87.7
2015,SH_MED_HWRKDIS,PT,M,ISCO08_221,12.3
