Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,SEX,URBANISATION,Value
2000,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,97.48
2006,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.73
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,96.84
2013,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.4
2014,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.5
2015,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.6
2016,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.7
2017,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.7
2018,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.8
2019,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.9
2020,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,_T,98.9
2000,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,97.56
2006,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.69
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,96.92
2013,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.3
2014,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.5
2015,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.5
2016,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.6
2017,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.7
2018,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.8
2019,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,98.9
2020,SE_TOT_CPLR,PT,ISCED11_2,_T,F,_T,99.0
2000,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,97.4
2006,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.77
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,96.78
2013,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.3
2014,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.3
2015,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.4
2016,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.5
2017,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.5
2018,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.6
2019,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.6
2020,SE_TOT_CPLR,PT,ISCED11_2,_T,M,_T,98.7
2006,SE_TOT_CPLR,PT,ISCED11_2,Q1,_T,_T,95.59
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,_T,_T,90.817
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,F,_T,86.99261
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,M,_T,95.47208
2006,SE_TOT_CPLR,PT,ISCED11_2,Q2,_T,_T,99.79
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,_T,_T,93.87903
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,M,_T,89.37129
2006,SE_TOT_CPLR,PT,ISCED11_2,Q3,_T,_T,98.61
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,_T,_T,98.79659
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,M,_T,97.72626
2006,SE_TOT_CPLR,PT,ISCED11_2,Q4,_T,_T,99.46
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,_T,_T,98.42177
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,F,_T,96.82923
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,M,_T,99.85685
2006,SE_TOT_CPLR,PT,ISCED11_2,Q5,_T,_T,99.85
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,_T,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,F,_T,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,M,_T,100.0
2000,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,R,96.61
2006,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,R,98.67
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,R,96.3604
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,F,R,96.55474
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,M,R,96.19608
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,_T,R,92.15459
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,F,R,90.75005
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,M,R,94.23948
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,_T,R,94.70641
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,F,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,M,R,91.00468
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,_T,R,98.43307
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,F,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,M,R,97.21833
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,_T,R,97.44476
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,F,R,94.89287
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,M,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,_T,R,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,F,R,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,M,R,0.0
2000,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,U,98.88
2006,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,U,98.83
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,_T,U,97.89363
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,F,U,97.72262
2012,SE_TOT_CPLR,PT,ISCED11_2,_T,M,U,98.03853
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,_T,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q1,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,_T,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q2,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,_T,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q3,M,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,_T,U,99.81715
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q4,M,U,99.67559
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,_T,U,100.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,F,U,0.0
2012,SE_TOT_CPLR,PT,ISCED11_2,Q5,M,U,100.0
2000,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,99.25
2006,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,99.2
2012,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,99.74
2013,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,99.9
2014,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,99.9
2015,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,99.9
2016,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,100.0
2017,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,100.0
2018,SE_TOT_CPLR,PT,ISCED11_1,_T,_T,_T,100.0
