Year,SERIES,UNIT_MEASURE,Value
2006,DC_TOF_SCHIPSL,USD,0.3961
2007,DC_TOF_SCHIPSL,USD,0.33975
2008,DC_TOF_SCHIPSL,USD,0.93754
2009,DC_TOF_SCHIPSL,USD,0.93586
2010,DC_TOF_SCHIPSL,USD,1.32635
2011,DC_TOF_SCHIPSL,USD,1.5511
2012,DC_TOF_SCHIPSL,USD,1.71408
2013,DC_TOF_SCHIPSL,USD,2.24878
2014,DC_TOF_SCHIPSL,USD,2.05798
2015,DC_TOF_SCHIPSL,USD,2.36296
2016,DC_TOF_SCHIPSL,USD,1.89325
2017,DC_TOF_SCHIPSL,USD,3.04527
2018,DC_TOF_SCHIPSL,USD,4.39657
2019,DC_TOF_SCHIPSL,USD,5.6153
2020,DC_TOF_SCHIPSL,USD,3.68735
2021,DC_TOF_SCHIPSL,USD,3.4715
