Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,EG_EGY_CLEAN,PT,_T,54.1
2000,EG_EGY_CLEAN,PT,R,32.9
2000,EG_EGY_CLEAN,PT,U,81.1
2001,EG_EGY_CLEAN,PT,_T,53.2
2001,EG_EGY_CLEAN,PT,R,31.7
2001,EG_EGY_CLEAN,PT,U,80.0
2002,EG_EGY_CLEAN,PT,_T,51.65
2002,EG_EGY_CLEAN,PT,R,30.2
2002,EG_EGY_CLEAN,PT,U,79.0
2003,EG_EGY_CLEAN,PT,_T,51.3
2003,EG_EGY_CLEAN,PT,R,28.9
2003,EG_EGY_CLEAN,PT,U,77.9
2004,EG_EGY_CLEAN,PT,_T,50.2
2004,EG_EGY_CLEAN,PT,R,27.7
2004,EG_EGY_CLEAN,PT,U,76.8
2005,EG_EGY_CLEAN,PT,_T,49.1
2005,EG_EGY_CLEAN,PT,R,26.4
2005,EG_EGY_CLEAN,PT,U,75.9
2006,EG_EGY_CLEAN,PT,_T,47.9
2006,EG_EGY_CLEAN,PT,R,25.1
2006,EG_EGY_CLEAN,PT,U,74.2
2007,EG_EGY_CLEAN,PT,_T,46.65
2007,EG_EGY_CLEAN,PT,R,23.8
2007,EG_EGY_CLEAN,PT,U,72.6
2008,EG_EGY_CLEAN,PT,_T,45.8
2008,EG_EGY_CLEAN,PT,R,22.6
2008,EG_EGY_CLEAN,PT,U,71.2
2009,EG_EGY_CLEAN,PT,_T,45.6
2009,EG_EGY_CLEAN,PT,R,21.8
2009,EG_EGY_CLEAN,PT,U,69.7
2010,EG_EGY_CLEAN,PT,_T,44.8
2010,EG_EGY_CLEAN,PT,R,20.8
2010,EG_EGY_CLEAN,PT,U,68.4
2011,EG_EGY_CLEAN,PT,_T,43.7
2011,EG_EGY_CLEAN,PT,R,19.5
2011,EG_EGY_CLEAN,PT,U,66.9
2012,EG_EGY_CLEAN,PT,_T,43.2
2012,EG_EGY_CLEAN,PT,R,18.4
2012,EG_EGY_CLEAN,PT,U,65.5
2013,EG_EGY_CLEAN,PT,_T,42.1
2013,EG_EGY_CLEAN,PT,R,17.5
2013,EG_EGY_CLEAN,PT,U,64.5
2014,EG_EGY_CLEAN,PT,_T,41.9
2014,EG_EGY_CLEAN,PT,R,16.8
2014,EG_EGY_CLEAN,PT,U,67.0
2015,EG_EGY_CLEAN,PT,_T,41.8
2015,EG_EGY_CLEAN,PT,R,16.0
2015,EG_EGY_CLEAN,PT,U,63.7
2016,EG_EGY_CLEAN,PT,_T,41.05
2016,EG_EGY_CLEAN,PT,R,15.4
2016,EG_EGY_CLEAN,PT,U,62.45
2017,EG_EGY_CLEAN,PT,_T,41.3
2017,EG_EGY_CLEAN,PT,R,14.6
2017,EG_EGY_CLEAN,PT,U,62.35
2018,EG_EGY_CLEAN,PT,_T,40.8
2018,EG_EGY_CLEAN,PT,R,14.3
2018,EG_EGY_CLEAN,PT,U,61.5
2019,EG_EGY_CLEAN,PT,_T,42.05
2019,EG_EGY_CLEAN,PT,R,13.8
2019,EG_EGY_CLEAN,PT,U,61.1
2020,EG_EGY_CLEAN,PT,_T,40.85
2020,EG_EGY_CLEAN,PT,R,12.7
2020,EG_EGY_CLEAN,PT,U,60.5
2021,EG_EGY_CLEAN,PT,_T,40.9
2021,EG_EGY_CLEAN,PT,R,12.4
2021,EG_EGY_CLEAN,PT,U,60.25
2022,EG_EGY_CLEAN,PT,_T,41.1
2022,EG_EGY_CLEAN,PT,R,11.7
2022,EG_EGY_CLEAN,PT,U,60.2
