Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2010,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.6
2011,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.78
2012,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.8
2013,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.11
2014,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.91
2015,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.0
2016,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.9
2017,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.0
2018,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.23
2019,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,2.18
2020,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.29
2021,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.53
2022,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.49
2023,EN_ATM_CO2,TONNES_M,ISIC4_C10T32X19,1.25
2010,EN_ATM_CO2,TONNES_M,_T,20.48
2011,EN_ATM_CO2,TONNES_M,_T,23.4
2012,EN_ATM_CO2,TONNES_M,_T,21.65
2013,EN_ATM_CO2,TONNES_M,_T,21.51
2014,EN_ATM_CO2,TONNES_M,_T,19.19
2015,EN_ATM_CO2,TONNES_M,_T,19.32
2016,EN_ATM_CO2,TONNES_M,_T,22.04
2017,EN_ATM_CO2,TONNES_M,_T,22.35
2018,EN_ATM_CO2,TONNES_M,_T,22.24
2019,EN_ATM_CO2,TONNES_M,_T,20.76
2020,EN_ATM_CO2,TONNES_M,_T,20.52
2021,EN_ATM_CO2,TONNES_M,_T,20.7
2022,EN_ATM_CO2,TONNES_M,_T,20.6
2023,EN_ATM_CO2,TONNES_M,_T,19.09
2006,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.677
2007,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.655
2008,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.651
2009,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.732
2010,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.803
2011,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.894
2012,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.912
2013,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,1.018
2014,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.883
2015,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.869
2016,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.782
2017,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.756
2018,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.833
2019,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.814
2020,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.504
2021,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.523
2022,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.484
2023,EN_ATM_CO2MVA,KG_PER_CON_USD,ISIC4_C,0.418
2006,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.40624
2007,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.40485
2008,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.4219
2009,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.4341
2010,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.43634
2011,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.49381
2012,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.46067
2013,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.44718
2014,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.3944
2015,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.38076
2016,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.42053
2017,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.41305
2018,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.39604
2019,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.35931
2020,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.3662
2021,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.34399
2022,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.32844
2023,EN_ATM_CO2GDP,KG_PER_CON_USD,,0.29842
