Year,calendar,UNIT_MEASURE,Type,Value
2019,January,CUR_NAC_1000,export,856 376
2019,February,CUR_NAC_1000,export,926443
2019,March,CUR_NAC_1000,export,989133
2019,April,CUR_NAC_1000,export,1034867
2019,May,CUR_NAC_1000,export,1028163
2019,June,CUR_NAC_1000,export,995601
2019,July,CUR_NAC_1000,export,1005663
2019,August,CUR_NAC_1000,export,844904
2019,September,CUR_NAC_1000,export,983719
2019,October,CUR_NAC_1000,import,1292899
2019,November,CUR_NAC_1000,import,1549613
2019,December,CUR_NAC_1000,import,1772859
2019,January,CUR_NAC_1000,import,1750450
2019,February,CUR_NAC_1000,import,1809099
2019,March,CUR_NAC_1000,import,1608480
2019,April,CUR_NAC_1000,import,1745495
2019,May,CUR_NAC_1000,import,1526382
2019,June,CUR_NAC_1000,import,1572606
2020,July,CUR_NAC_1000,export,855977
2020,August,CUR_NAC_1000,export,923256
2020,September,CUR_NAC_1000,export,848386
2020,October,CUR_NAC_1000,export,696198
2020,November,CUR_NAC_1000,export,736613
2020,December,CUR_NAC_1000,export,888104
2020,January,CUR_NAC_1000,export,874153
2020,February,CUR_NAC_1000,export,775220
2020,March,CUR_NAC_1000,export,977148
2020,April,CUR_NAC_1000,import,1235871
2020,May,CUR_NAC_1000,import,1567515
2020,June,CUR_NAC_1000,import,1483047
2020,July,CUR_NAC_1000,import,1133427
2020,August,CUR_NAC_1000,import,1183197
2020,September,CUR_NAC_1000,import,1416588
2020,October,CUR_NAC_1000,import,1511289
2020,November,CUR_NAC_1000,import,1306882
2020,December,CUR_NAC_1000,import,1483216
