Year,UNIT_MEASURE,Type,Value
2017 Q1,%,non seasonal,3.5
2017 Q2,%,non seasonal,3.3
2017 Q3,%,non seasonal,3.7
2017 Q4,%,non seasonal,2.3
2018 Q1,%,non seasonal,3.6
2018 Q2,%,non seasonal,3.9
2018 Q3,%,non seasonal,3.4
2018 Q4,%,non seasonal,4.1
2019 Q1,%,non seasonal,2.6
2019 Q2,%,non seasonal,3.0
2019 Q3,%,non seasonal,3.2
2019 Q4,%,non seasonal,1.8
2020 Q1,%,non seasonal,2.1
2020 Q2,%,non seasonal,-9.3
2017 Q1,%,seasonal,0.4
2017 Q2,%,seasonal,0.5
2017 Q3,%,seasonal,1.1
2017 Q4,%,seasonal,0.4
2018 Q1,%,seasonal,1.6
2018 Q2,%,seasonal,0.7
2018 Q3,%,seasonal,0.6
2018 Q4,%,seasonal,1.2
2019 Q1,%,seasonal,0.2
2019 Q2,%,seasonal,0.8
2019 Q3,%,seasonal,0.8
2019 Q4,%,seasonal,0.0
2020 Q1,%,seasonal,0.6
2020 Q2,%,seasonal,-10.5
2017 Q1,%,final trend,0.8
2017 Q2,%,final trend,0.7
2017 Q3,%,final trend,0.8
2017 Q4,%,final trend,0.9
2018 Q1,%,final trend,0.9
2018 Q2,%,final trend,0.9
2018 Q3,%,final trend,0.8
2018 Q4,%,final trend,0.8
2019 Q1,%,final trend,0.7
2019 Q2,%,final trend,0.6
2019 Q3,%,final trend,0.6
2019 Q4,%,final trend,0.5
2020 Q1,%,final trend,0.5
2020 Q2,%,final trend,0.6
