Year,UNIT_MEASURE,Type,Value
1-2020 2019 jan,IX,total,-2.0
2-2020 2019 feb,IX,total,-2.8
3-2020 2019 mar,IX,total,-12.6
4-2020 2019 apr,IX,total,29.5
5-2020 2019 may,IX,total,-4.5
6-2020 2019 june,IX,total,18.2
7-2020 2019 july,IX,total,-10.1
8-2020 2019 aug,IX,total,-0.4
9-2020 2019 sept,IX,total,-1.3
10-2020 2019 oct,IX,total,3.2
11-2020 2019 nov,IX,total,1.6
12-2020 2019 dec,IX,total,9.7
1-2021 2020 jan,IX,total,-2.7
2-2021 2020 feb,IX,total,-5.5
3-2021 2020 mar,IX,total,9.8
1-2020 2019 jan,IX,intermediate goods,-4.0
2-2020 2019 feb,IX,intermediate goods,-4.6
3-2020 2019 mar,IX,intermediate goods,-14.3
4-2020 2019 apr,IX,intermediate goods,-26.7
5-2020 2019 may,IX,intermediate goods,-19.2
6-2020 2019 june,IX,intermediate goods,-20.1
7-2020 2019 july,IX,intermediate goods,-7.9
8-2020 2019 aug,IX,intermediate goods,1.2
9-2020 2019 sept,IX,intermediate goods,-4.9
10-2020 2019 oct,IX,intermediate goods,2.7
11-2020 2019 nov,IX,intermediate goods,3.7
12-2020 2019 dec,IX,intermediate goods,11.4
1-2021 2020 jan,IX,intermediate goods,-1.0
2-2021 2020 feb,IX,intermediate goods,-4.2
3-2021 2020 mar,IX,intermediate goods,15.8
1-2020 2019 jan,IX,energy,-43.6
2-2020 2019 feb,IX,energy,-37.6
3-2020 2019 mar,IX,energy,-32.5
4-2020 2019 apr,IX,energy,-49.8
5-2020 2019 may,IX,energy,-52.5
6-2020 2019 june,IX,energy,-53.0
7-2020 2019 july,IX,energy,-57.7
8-2020 2019 aug,IX,energy,-5.7
9-2020 2019 sept,IX,energy,-13.5
10-2020 2019 oct,IX,energy,-11.6
11-2020 2019 nov,IX,energy,-5.6
12-2020 2019 dec,IX,energy,-10.7
1-2021 2020 jan,IX,energy,2.4
2-2021 2020 feb,IX,energy,-1.9
3-2021 2020 mar,IX,energy,9.2
1-2020 2019 jan,IX,capital goods,3.1
2-2020 2019 feb,IX,capital goods,1.1
3-2020 2019 mar,IX,capital goods,-27.1
4-2020 2019 apr,IX,capital goods,-41.1
5-2020 2019 may,IX,capital goods,-39.2
6-2020 2019 june,IX,capital goods,-37.6
7-2020 2019 july,IX,capital goods,-3.3
8-2020 2019 aug,IX,capital goods,15.9
9-2020 2019 sept,IX,capital goods,10.8
10-2020 2019 oct,IX,capital goods,7.1
11-2020 2019 nov,IX,capital goods,6.4
12-2020 2019 dec,IX,capital goods,24.4
1-2021 2020 jan,IX,capital goods,8.5
2-2021 2020 feb,IX,capital goods,4.3
3-2021 2020 mar,IX,capital goods,7.6
1-2020 2019 jan,IX,consumer durables,-2.0
2-2020 2019 feb,IX,consumer durables,2.1
3-2020 2019 mar,IX,consumer durables,-24.9
4-2020 2019 apr,IX,consumer durables,-51.6
5-2020 2019 may,IX,consumer durables,-30.2
6-2020 2019 june,IX,consumer durables,3.8
7-2020 2019 july,IX,consumer durables,3.8
8-2020 2019 aug,IX,consumer durables,6.5
9-2020 2019 sept,IX,consumer durables,14.9
10-2020 2019 oct,IX,consumer durables,10.9
11-2020 2019 nov,IX,consumer durables,9.9
12-2020 2019 dec,IX,consumer durables,20.7
1-2021 2020 jan,IX,consumer durables,7.6
2-2021 2020 feb,IX,consumer durables,4.1
3-2021 2020 mar,IX,consumer durables,7.3
1-2020 2019 jan,IX,consumer non-durables,12.1
2-2020 2019 feb,IX,consumer non-durables,8.7
3-2020 2019 mar,IX,consumer non-durables,6.5
4-2020 2019 apr,IX,consumer non-durables,-17.3
5-2020 2019 may,IX,consumer non-durables,-14.4
6-2020 2019 june,IX,consumer non-durables,1.9
7-2020 2019 july,IX,consumer non-durables,-2.8
8-2020 2019 aug,IX,consumer non-durables,-8.9
9-2020 2019 sept,IX,consumer non-durables,0.9
10-2020 2019 oct,IX,consumer non-durables,5.0
11-2020 2019 nov,IX,consumer non-durables,-1.1
12-2020 2019 dec,IX,consumer non-durables,3.2
1-2021 2020 jan,IX,consumer non-durables,-10.0
2-2021 2020 feb,IX,consumer non-durables,10.3
3-2021 2020 mar,IX,consumer non-durables,2.1
