Year,UNIT_MEASURE,Type,Value
January,IX,Total retail trade 2019,123.6
February,IX,Total retail trade 2019,128.5
March,IX,Total retail trade 2019,128.8
April,IX,Total retail trade 2019,126.2
May,IX,Total retail trade 2019,122.0
June,IX,Total retail trade 2019,128.6
July,IX,Total retail trade 2019,128.3
August,IX,Total retail trade 2019,129.2
September,IX,Total retail trade 2019,127.1
January,IX,Total retail trade 2020,133.7
February,IX,Total retail trade 2020,137.5
March,IX,Total retail trade 2020,119.8
April,IX,Total retail trade 2020,85.0
May,IX,Total retail trade 2020,111.7
June,IX,Total retail trade 2020,120.8
July,IX,Total retail trade 2020,114.0
August,IX,Total retail trade 2020,111.1
September,IX,Total retail trade 2020,120.8
