Year,Value,UNIT_MEASURE,SERIES
2000,0.0,PT,ER_PTD_MTN
2005,0.0,PT,ER_PTD_MTN
2006,0.0,PT,ER_PTD_MTN
2007,0.0,PT,ER_PTD_MTN
2008,12.47799,PT,ER_PTD_MTN
2009,12.47799,PT,ER_PTD_MTN
2010,12.47799,PT,ER_PTD_MTN
2011,12.47799,PT,ER_PTD_MTN
2012,12.47799,PT,ER_PTD_MTN
2013,12.47799,PT,ER_PTD_MTN
2014,12.47799,PT,ER_PTD_MTN
2015,12.47799,PT,ER_PTD_MTN
2016,12.47799,PT,ER_PTD_MTN
2017,12.47799,PT,ER_PTD_MTN
2018,12.47799,PT,ER_PTD_MTN
2019,12.47799,PT,ER_PTD_MTN
2020,50.52469,PT,ER_PTD_MTN
2021,61.1251,PT,ER_PTD_MTN
2022,61.1251,PT,ER_PTD_MTN
2023,61.1251,PT,ER_PTD_MTN
2024,61.1251,PT,ER_PTD_MTN
