Year,Value,UNIT_MEASURE,SERIES
2000,10.251391,CON_USD_M,DC_TOF_HLTHL
2001,5.959862,CON_USD_M,DC_TOF_HLTHL
2002,5.934297,CON_USD_M,DC_TOF_HLTHL
2003,9.059809,CON_USD_M,DC_TOF_HLTHL
2004,5.036098,CON_USD_M,DC_TOF_HLTHL
2005,4.411064,CON_USD_M,DC_TOF_HLTHL
2006,16.544659,CON_USD_M,DC_TOF_HLTHL
2007,10.931366,CON_USD_M,DC_TOF_HLTHL
2008,7.820505,CON_USD_M,DC_TOF_HLTHL
2009,2.888924,CON_USD_M,DC_TOF_HLTHL
2010,8.542935,CON_USD_M,DC_TOF_HLTHL
2011,8.542935,CON_USD_M,DC_TOF_HLTHL
2012,6.679893,CON_USD_M,DC_TOF_HLTHL
2013,7.360304,CON_USD_M,DC_TOF_HLTHL
2014,6.120338,CON_USD_M,DC_TOF_HLTHL
2015,5.778315,CON_USD_M,DC_TOF_HLTHL
2016,41.223796,CON_USD_M,DC_TOF_HLTHL
2017,39.861176,CON_USD_M,DC_TOF_HLTHL
2018,14.74644,CON_USD_M,DC_TOF_HLTHL
2019,9.97931,CON_USD_M,DC_TOF_HLTHL
2020,17.55748,CON_USD_M,DC_TOF_HLTHL
2021,59.916874,CON_USD_M,DC_TOF_HLTHL
2022,37.775416,CON_USD_M,DC_TOF_HLTHL
2023,24.030557,CON_USD_M,DC_TOF_HLTHL
2010,8.4813,CON_USD_M,DC_TOF_HLTHNT
2011,6.6205,CON_USD_M,DC_TOF_HLTHNT
2012,7.2954,CON_USD_M,DC_TOF_HLTHNT
2013,5.7514,CON_USD_M,DC_TOF_HLTHNT
2014,11.344,CON_USD_M,DC_TOF_HLTHNT
2015,4.7808,CON_USD_M,DC_TOF_HLTHNT
2016,39.367,CON_USD_M,DC_TOF_HLTHNT
2017,37.458,CON_USD_M,DC_TOF_HLTHNT
2018,11.47,CON_USD_M,DC_TOF_HLTHNT
2019,6.6491,CON_USD_M,DC_TOF_HLTHNT
2020,12.858,CON_USD_M,DC_TOF_HLTHNT
2021,52.9241,CON_USD_M,DC_TOF_HLTHNT
2022,30.5069,CON_USD_M,DC_TOF_HLTHNT
2023,15.2903,CON_USD_M,DC_TOF_HLTHNT
