Year,Value,UNIT_MEASURE,SERIES
2006,209.2857,CON_USD,DC_TOF_TRDCML
2007,165.729,CON_USD,DC_TOF_TRDCML
2010,249.3056,CON_USD,DC_TOF_TRDCML
2011,242.8237,CON_USD,DC_TOF_TRDCML
2012,233.0666,CON_USD,DC_TOF_TRDCML
2013,480.6716,CON_USD,DC_TOF_TRDCML
2014,564.0009,CON_USD,DC_TOF_TRDCML
2015,83.8913,CON_USD,DC_TOF_TRDCML
2016,67.6078,CON_USD,DC_TOF_TRDCML
2017,221.0068,CON_USD,DC_TOF_TRDCML
2018,182.9313,CON_USD,DC_TOF_TRDCML
2019,275.4084,CON_USD,DC_TOF_TRDCML
2020,157.8916,CON_USD,DC_TOF_TRDCML
2021,319.6382,CON_USD,DC_TOF_TRDCML
2006,79.8281,CON_USD,DC_TOF_TRDDBML
2007,95.081,CON_USD,DC_TOF_TRDDBML
2010,129.8284,CON_USD,DC_TOF_TRDDBML
2011,310.2867,CON_USD,DC_TOF_TRDDBML
2012,331.8329,CON_USD,DC_TOF_TRDDBML
2013,262.7391,CON_USD,DC_TOF_TRDDBML
2014,263.8179,CON_USD,DC_TOF_TRDDBML
2015,165.7,CON_USD,DC_TOF_TRDDBML
2016,243.009,CON_USD,DC_TOF_TRDDBML
2017,244.6956,CON_USD,DC_TOF_TRDDBML
2018,215.7749,CON_USD,DC_TOF_TRDDBML
2019,218.1905,CON_USD,DC_TOF_TRDDBML
2020,286.6334,CON_USD,DC_TOF_TRDDBML
2021,279.7053,CON_USD,DC_TOF_TRDDBML
