Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,No breakdown,Bez podjele,_T,Bez podjele,2,1
ALL,All renewables,Svi obnovljivi izvori energije,ALL,Svi obnovljivi izvori energije,1,1
BA_BANJA_LUKA,Banja Luka,Banja Luka,BA_BANJA_LUKA,Banja Luka,2,2
BA_SARAJEVO,Sarajevo,Sarajevo,BA_SARAJEVO,Sarajevo,2,2
BA_TUZLA,Tuzla,Tuzla,BA_TUZLA,Tuzla,2,2
BA_ZENICA,Zenica,Zenica,BA_ZENICA,Zenica,2,2
BIOENERGY,Bioenergy,Bioenergija,BIOENERGY,Bioenergija,1,1
CAN,Cancer,Rak,CAN,Rak,3,1
CAR,Cardiovascular disease,Kardiovaskularne bolesti,CAR,Kardiovaskularne bolesti,3,1
DIA,Diabetes,Dijabetes,DIA,Dijabetes,3,1
GEOTHERMAL,Geothermal energy,Geotermalna energija,GEOTHERMAL,Geotermalna energija,1,1
HYDROPOWER,Hydropower,Hidroenergija,HYDROPOWER,Hidroenergija,1,1
IHR_01,"National legislation, policy and financing","Nacionalno zakonodavstvo, politika i finansiranje",IHR_01,"Nacionalno zakonodavstvo, politika i financiranje",1,1
IHR_02,Coordination and National Focal Point communications,Koordinacija i nacionalna kontakt tačka za komunikaciju,IHR_02,Koordinacija i nacionalna kontakt točka za komunikaciju,1,1
IHR_03,Surveillance,Nadzor,IHR_03,Nadzor,1,1
IHR_04,Response,Odgovor,IHR_04,Odgovor,1,1
IHR_05,Preparedness,Spremnost,IHR_05,Spremnost,1,1
IHR_06,Risk communication,Komunikacija o riziku,IHR_06,Komunikacija o riziku,1,1
IHR_07,Human resources,Ljudski resursi,IHR_07,Ljudski resursi,1,1
IHR_08,Laboratory,Laboratorija,IHR_08,Laboratorija,1,1
IHR_09,Points of entry,Tačke ulaska,IHR_09,Točke ulaska,1,1
IHR_10,Zoonotic events,Zoonotski događaji,IHR_10,Zoonotski događaji,1,1
IHR_11,Food safety,Sigurnost hrane,IHR_11,Sigurnost hrane,1,1
IHR_12,Chemical events,Hemijski događaji,IHR_12,Kemijski događaji,1,1
IHR_13,Radionuclear emergencies,Vanredne situacije u vezi sa zračenjem,IHR_13,Izvanredne situacije u vezi sa zračenjem,1,1
IO_IBRD,International Bank for Reconstruction and Development,Međunarodna banka za obnovu i razvoj,IO_IBRD,Međunarodna banka za obnovu i razvitak,4,2
