Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
BOOL,Boolean or binary measure,Logička ili binarna mjera,Логичка или бинарна мјера,Logička ili binarna mjera,4,1
CON_USD,Constant USD,konstantni američki dolari,константни амерички долари,konstantni američki dolari,11,6
CON_USD_M,Millions of constant United States dollars,Milioni konstantni američki dolari,Милиони константни амерички долари,Milioni konstantni američki dolari,10,3
CU_USD,(nominal United States dollars),(tekući američki dolari),(текући амерички долари),(nominalni američki dolari),6,4
CU_USD_B,(billions of nominal United States dollars),(milijarde nominalnih američkih dolara),(милијарде номиналних америчких долара),(milijarde nominalnih američkih dolara),1,1
CU_USD_M,Millions of current United States dollars,Milioni tekućih američkih dolara,Mилиони текућих америчких долара,Milijuni tekućih američkih dolara,8,3
CUR_LCU,in BAM,u KM,у KM,u KM,33,1
CUR_LCU_M,Local currency (millions),Lokalna valuta (milioni),Локална валута (милиони),Lokalna valuta (milioni),1,1
GPERM3,Micrograms per cubic meter,Mikrogrami po kubnom metru,Микрограми по кубном метру,Mikrogrami po kubnom metru,5,1
HA_TH,HA_TH,Hiljade hektara,Хиљаде хектара,Tisuće hektara,4,2
IX,Index,Index,Индеx,Index,10,7
KG,Kilograms,Kilogrami,Килограми,Kilogrami,5,3
KG_PER_CON_USD,Kilograms per constant USD,Kilogrami po konstanti američkog dolara,Килограми по константи америчког долара,Kilogrami po konstanti američkog dolara,26,4
KM2,Square kilometers,Kvadratnih kilometara,Квадратних километара,Kvadratnih kilometara,6,2
LITRES,LITRES,Litri,Литри,Litri,3,1
M_M3_PER_YR,Million of cubic metres per annum,Milion kubnih metara godišnje,Милион кубних метара годишње,Milion kubnih metara godišnje,9,1
MILLIONS,MILLIONS,Milioni,Милиони,Milijuni,1,1
MJ_PER_GDP_CON_PPP_USD,Megajoules per USD constant PPP GDP,Megadžula po konstantni američkog dolara PPP BDP,Мегаџула по константни америчког долара ППП БДП,Megadžula po konstantni američkog dolara PPP BDP,1,1
MT_CO2E,Million tons of CO2 equivalent,Milion tona ekvivalenta CO2,Милион тона еквивалента CO2,Milijuna tona ekvivalenta CO2,1,1
NUMBER,Number,Broj,Број,Broj,133,32
P_KM,Passenger kilometres,Putnički kilometri,Путнички километри,Putnički kilometri,3,1
PER_1000000_POP,Per million population,Na milion stanovnika,На милион становника,Na milijun stanovnika,1,1
PER_100000_LIVE_BIRTHS,"Per 100,000 live births",Na 100 000 živorođenih,На 100.000 живорођених,Na 100 000 živorođenih,1,1
PER_100000_POP,"Per 100,000 population",Na 100 000 stanovnika,На 100.000 становника,Na 100 000 stanovnika,21,8
PER_10000_POP,"Per 10,000 population",Na 10 000 stanovnika,На 10 000 становника,Na 10 000 stanovnika,4,1
PER_1000_LIVE_BIRTHS,"Per 1,000 live births",Na 1 000 živorođenih,На 1.000 живорођених,Na 1 000 živorođenih,7,2
PER_1000_POP,"Per 1,000 population",Na 1 000 stanovnika,На 1.000 становника,Na 1 000 stanovnika,2,1
PER_1000_UNINFECTED_POP,"Per 1,000 uninfected population",Na 1 000 nezaraženog stanovništva,На 1.000 незараженог становништва,Na 1 000 nezaraženog stanovništva,9,1
PER_100_POP,Per 100 population,Na 100 stanovnika,На 100 становника,Na 100 stanovnika,4,1
PT,Percent,Procenat,Проценат,Postotak,572,101
RO,Ratio,Odnos,Однос,Odnos,103,4
SCORE,Score,Rezultat,Резултат,Rezultat,4,4
T_KM,Tonne kilometres,Tonski kilometri,Тонски километри,Tonski kilometri,4,1
THOUSANDS,THOUSANDS,Hiljade,Хиљаде,Tisuće,8,3
TONNES,TONNES,Tone,Тоне,Tone,63,5
TONNES_M,TONNES_M,Milioni tona,Милиони тона,Milijuni tona,2,1
USD,USD,Američki dolar,Амерички долар,Američki dolar,5,4
USD/m3,USD/m3,USD/m3,Амерички долар/m3,USD/m3,4,1
