Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
0.28540,0.28540,0.28540,0.28540,0.28540,1,1
0.31226,0.31226,0.31226,0.31226,0.31226,1,1
0.60731,0.60731,0.60731,0.60731,0.60731,1,1
0.60786,0.60786,0.60786,0.60786,0.60786,1,1
0.69955,0.69955,0.69955,0.69955,0.69955,1,1
0.70046,0.70046,0.70046,0.70046,0.70046,1,1
0.73837,0.73837,0.73837,0.73837,0.73837,1,1
0.73845,0.73845,0.73845,0.73845,0.73845,1,1
0.75366,0.75366,0.75366,0.75366,0.75366,1,1
0.79713,0.79713,0.79713,0.79713,0.79713,1,1
0.84348 ,0.84348 ,0.84348 ,0.84348 ,0.84348 ,1,1
0.88954,0.88954,0.88954,0.88954,0.88954,1,1
0.91255,0.91255,0.91255,0.91255,0.91255,1,1
0.93559 ,0.93559 ,0.93559 ,0.93559 ,0.93559 ,1,1
0.9377,0.9377,0.9377,0.9377,0.9377,1,1
0.94017,0.94017,0.94017,0.94017,0.94017,1,1
0.94207 ,0.94207 ,0.94207 ,0.94207 ,0.94207 ,1,1
0.94222,0.94222,0.94222,0.94222,0.94222,1,1
0.97704,0.97704,0.97704,0.97704,0.97704,1,1
0.98121 ,0.98121 ,0.98121 ,0.98121 ,0.98121 ,1,1
0.98434,0.98434,0.98434,0.98434,0.98434,1,1
0.98805,0.98805,0.98805,0.98805,0.98805,1,1
0.99417,0.99417,0.99417,0.99417,0.99417,1,1
0.99638 ,0.99638 ,0.99638 ,0.99638 ,0.99638 ,1,1
0.99747,0.99747,0.99747,0.99747,0.99747,1,1
0.99838,0.99838,0.99838,0.99838,0.99838,1,1
1.00079,1.00079,1.00079,1.00079,1.00079,1,1
1.01804,1.01804,1.01804,1.01804,1.01804,1,1
1.03128,1.03128,1.03128,1.03128,1.03128,1,1
_T,Total,Ukupno,Укупно,Ukupno,89,8
R,Rural,Ruralno,Рурално,Ruralno,88,6
U,Urban,Urbano,Урбано,Urbano,88,6
